Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,230,2431,-5.2,766,-7.5,Education and Health Services,48001,TX
Andrews County,2017,Third Quarter,24,165,8.6,624,5.6,Education and Health Services,48003,TX
Angelina County,2017,Third Quarter,290,8234,-2.1,770,-5.9,Education and Health Services,48005,TX
Aransas County,2017,Third Quarter,60,533,-17.9,676,-3.6,Education and Health Services,48007,TX
Archer County,2017,Third Quarter,21,121,47.6,465,14.8,Education and Health Services,48009,TX
Armstrong County,2017,Third Quarter,4,,,,,Education and Health Services,48011,TX
Atascosa County,2017,Third Quarter,79,1198,-5.4,786,0.5,Education and Health Services,48013,TX
Austin County,2017,Third Quarter,86,889,-8.3,570,0.5,Education and Health Services,48015,TX
Bailey County,2017,Third Quarter,11,186,0.5,602,-9.9,Education and Health Services,48017,TX
Bandera County,2017,Third Quarter,28,324,-7.4,897,12.3,Education and Health Services,48019,TX
Bastrop County,2017,Third Quarter,210,1974,8,625,-2.3,Education and Health Services,48021,TX
Baylor County,2017,Third Quarter,16,366,0.8,673,6.5,Education and Health Services,48023,TX
Bee County,2017,Third Quarter,68,1267,5.3,641,-10.3,Education and Health Services,48025,TX
Bell County,2017,Third Quarter,777,21744,1.8,1177,-4.6,Education and Health Services,48027,TX
Bexar County,2017,Third Quarter,8818,139474,2.1,828,-4.1,Education and Health Services,48029,TX
Blanco County,2017,Third Quarter,45,210,-1.9,574,-13.2,Education and Health Services,48031,TX
Borden County,2017,Third Quarter,7,,,,,Education and Health Services,48033,TX
Bosque County,2017,Third Quarter,25,309,3,663,0.3,Education and Health Services,48035,TX
Bowie County,2017,Third Quarter,391,8071,1.2,841,0.5,Education and Health Services,48037,TX
Brazoria County,2017,Third Quarter,779,11042,3.1,776,7.6,Education and Health Services,48039,TX
Brazos County,2017,Third Quarter,505,10410,2.1,924,-0.9,Education and Health Services,48041,TX
Brewster County,2017,Third Quarter,31,336,10.5,706,-0.8,Education and Health Services,48043,TX
Briscoe County,2017,Third Quarter,3,19,5.6,196,-18,Education and Health Services,48045,TX
Brooks County,2017,Third Quarter,21,434,0,292,-1,Education and Health Services,48047,TX
Brown County,2017,Third Quarter,116,3415,-2.1,520,-1.3,Education and Health Services,48049,TX
Burleson County,2017,Third Quarter,26,345,-6.8,746,0.8,Education and Health Services,48051,TX
Burnet County,2017,Third Quarter,130,2018,-2.1,925,0.1,Education and Health Services,48053,TX
Caldwell County,2017,Third Quarter,104,1503,-3,703,1.6,Education and Health Services,48055,TX
Calhoun County,2017,Third Quarter,54,576,-4,849,-1.3,Education and Health Services,48057,TX
Callahan County,2017,Third Quarter,15,232,4.5,498,-0.2,Education and Health Services,48059,TX
Cameron County,2017,Third Quarter,1041,39880,2.5,517,-6.5,Education and Health Services,48061,TX
Camp County,2017,Third Quarter,40,496,5.8,602,-12.4,Education and Health Services,48063,TX
Carson County,2017,Third Quarter,8,49,69,364,-8.8,Education and Health Services,48065,TX
Cass County,2017,Third Quarter,56,1461,16.5,404,-2.7,Education and Health Services,48067,TX
Castro County,2017,Third Quarter,5,85,13.3,436,-1.4,Education and Health Services,48069,TX
Chambers County,2017,Third Quarter,49,787,12.6,628,5.7,Education and Health Services,48071,TX
Cherokee County,2017,Third Quarter,86,1698,-3.9,591,-4.2,Education and Health Services,48073,TX
Childress County,2017,Third Quarter,15,131,-0.8,510,-6.4,Education and Health Services,48075,TX
Clay County,2017,Third Quarter,5,146,0.7,660,15,Education and Health Services,48077,TX
Cochran County,2017,Third Quarter,7,31,-43.6,856,42.9,Education and Health Services,48079,TX
Coke County,2017,Third Quarter,5,29,7.4,367,-9.8,Education and Health Services,48081,TX
Coleman County,2017,Third Quarter,23,402,4.7,532,-4.7,Education and Health Services,48083,TX
Collin County,2017,Third Quarter,4023,51765,6.3,921,-4.4,Education and Health Services,48085,TX
Collingsworth County,2017,Third Quarter,13,194,-2,982,0.6,Education and Health Services,48087,TX
Colorado County,2017,Third Quarter,49,900,8.7,719,1,Education and Health Services,48089,TX
Comal County,2017,Third Quarter,389,6730,3.2,810,-0.2,Education and Health Services,48091,TX
Comanche County,2017,Third Quarter,22,414,-2.4,696,2.7,Education and Health Services,48093,TX
Concho County,2017,Third Quarter,6,127,1.6,729,5.2,Education and Health Services,48095,TX
Cooke County,2017,Third Quarter,79,693,-1.4,632,-3.7,Education and Health Services,48097,TX
Coryell County,2017,Third Quarter,117,1235,-3.8,808,-6.4,Education and Health Services,48099,TX
Cottle County,2017,Third Quarter,4,30,-40,660,16.8,Education and Health Services,48101,TX
Crane County,2017,Third Quarter,8,51,-55.7,673,-2,Education and Health Services,48103,TX
Crockett County,2017,Third Quarter,6,,,,,Education and Health Services,48105,TX
Crosby County,2017,Third Quarter,8,158,-3.7,547,-0.4,Education and Health Services,48107,TX
Culberson County,2017,Third Quarter,2,,,,,Education and Health Services,48109,TX
Dallam County,2017,Third Quarter,14,78,-1.3,561,13.1,Education and Health Services,48111,TX
Dallas County,2017,Third Quarter,9650,198363,1.1,1077,-0.8,Education and Health Services,48113,TX
Dawson County,2017,Third Quarter,17,242,4.3,332,-3.2,Education and Health Services,48115,TX
Deaf Smith County,2017,Third Quarter,19,268,-2.9,614,1,Education and Health Services,48117,TX
Delta County,2017,Third Quarter,11,568,-22.7,243,6.6,Education and Health Services,48119,TX
Denton County,2017,Third Quarter,2072,30508,3.8,846,-6.4,Education and Health Services,48121,TX
DeWitt County,2017,Third Quarter,38,427,-4,706,4.3,Education and Health Services,48123,TX
Dickens County,2017,Third Quarter,3,16,,197,,Education and Health Services,48125,TX
Dimmit County,2017,Third Quarter,31,588,0.2,966,0.4,Education and Health Services,48127,TX
Donley County,2017,Third Quarter,8,44,-20,358,-16.6,Education and Health Services,48129,TX
Duval County,2017,Third Quarter,20,791,16.7,327,-10.2,Education and Health Services,48131,TX
Eastland County,2017,Third Quarter,48,808,-0.5,496,5.8,Education and Health Services,48133,TX
Ector County,2017,Third Quarter,304,5577,5.3,878,-5.2,Education and Health Services,48135,TX
Edwards County,2017,Third Quarter,4,42,75,452,159.8,Education and Health Services,48137,TX
Ellis County,2017,Third Quarter,305,4897,4,776,-0.8,Education and Health Services,48139,TX
El Paso County,2017,Third Quarter,1860,44247,3.5,666,-5,Education and Health Services,48141,TX
Erath County,2017,Third Quarter,108,1821,-1.7,705,-4.7,Education and Health Services,48143,TX
Falls County,2017,Third Quarter,32,410,-0.2,442,-34.4,Education and Health Services,48145,TX
Fannin County,2017,Third Quarter,53,909,-0.7,688,1.5,Education and Health Services,48147,TX
Fayette County,2017,Third Quarter,71,1007,-7.9,747,2.9,Education and Health Services,48149,TX
Fisher County,2017,Third Quarter,8,58,1.8,411,-5.9,Education and Health Services,48151,TX
Floyd County,2017,Third Quarter,14,92,-18.6,559,2.8,Education and Health Services,48153,TX
Foard County,2017,Third Quarter,9,64,4.9,475,-4,Education and Health Services,48155,TX
Fort Bend County,2017,Third Quarter,2197,27958,4.2,728,-0.3,Education and Health Services,48157,TX
Franklin County,2017,Third Quarter,26,503,2,1076,-4.2,Education and Health Services,48159,TX
Freestone County,2017,Third Quarter,32,592,13,616,-0.6,Education and Health Services,48161,TX
Frio County,2017,Third Quarter,29,529,-18.2,520,3.8,Education and Health Services,48163,TX
Gaines County,2017,Third Quarter,22,161,3.9,606,-1,Education and Health Services,48165,TX
Galveston County,2017,Third Quarter,737,10833,-3.1,691,-0.6,Education and Health Services,48167,TX
Garza County,2017,Third Quarter,12,101,1,582,-1.5,Education and Health Services,48169,TX
Gillespie County,2017,Third Quarter,95,1750,1.3,911,2,Education and Health Services,48171,TX
Goliad County,2017,Third Quarter,9,156,20,416,-10.3,Education and Health Services,48175,TX
Gonzales County,2017,Third Quarter,31,454,3.4,627,-0.2,Education and Health Services,48177,TX
Gray County,2017,Third Quarter,43,818,-3.3,843,-4.2,Education and Health Services,48179,TX
Grayson County,2017,Third Quarter,680,9897,4.4,845,0.5,Education and Health Services,48181,TX
Gregg County,2017,Third Quarter,572,12103,-6.4,842,2.8,Education and Health Services,48183,TX
Grimes County,2017,Third Quarter,32,262,-11.5,812,5.6,Education and Health Services,48185,TX
Guadalupe County,2017,Third Quarter,224,3448,4.6,845,12.4,Education and Health Services,48187,TX
Hale County,2017,Third Quarter,84,1712,-3.5,679,-0.4,Education and Health Services,48189,TX
Hall County,2017,Third Quarter,8,101,-4.7,424,1,Education and Health Services,48191,TX
Hamilton County,2017,Third Quarter,17,288,2.5,703,-6.4,Education and Health Services,48193,TX
Hansford County,2017,Third Quarter,4,25,-32.4,486,-12.4,Education and Health Services,48195,TX
