Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,71,195,-5.3,1225,12,Information,48001,TX
Andrews County,2017,Third Quarter,10,91,40,1206,-4.4,Information,48003,TX
Angelina County,2017,Third Quarter,23,372,-3.1,726,-4.1,Information,48005,TX
Aransas County,2017,Third Quarter,14,45,-18.2,562,-16.6,Information,48007,TX
Archer County,2017,Third Quarter,2,,,,,Information,48009,TX
Atascosa County,2017,Third Quarter,7,50,-19.4,773,3.3,Information,48013,TX
Austin County,2017,Third Quarter,31,122,76.8,1440,4.7,Information,48015,TX
Bailey County,2017,Third Quarter,3,,,,,Information,48017,TX
Bandera County,2017,Third Quarter,8,27,0,1600,14,Information,48019,TX
Bastrop County,2017,Third Quarter,12,,,,,Information,48021,TX
Baylor County,2017,Third Quarter,3,8,,889,,Information,48023,TX
Bee County,2017,Third Quarter,6,61,-40.2,809,16.7,Information,48025,TX
Bell County,2017,Third Quarter,55,824,-9.9,870,-2.8,Information,48027,TX
Bexar County,2017,Third Quarter,433,18570,-2.3,1453,3,Information,48029,TX
Blanco County,2017,Third Quarter,3,,,,,Information,48031,TX
Bosque County,2017,Third Quarter,7,29,-63.3,608,100.7,Information,48035,TX
Bowie County,2017,Third Quarter,28,238,-29.6,810,-0.2,Information,48037,TX
Brazoria County,2017,Third Quarter,41,516,-0.2,874,-4,Information,48039,TX
Brazos County,2017,Third Quarter,52,1195,-2.4,990,6.7,Information,48041,TX
Brewster County,2017,Third Quarter,7,89,-4.3,1145,2.4,Information,48043,TX
Brooks County,2017,Third Quarter,4,,,,,Information,48047,TX
Brown County,2017,Third Quarter,14,136,-26.9,750,1.9,Information,48049,TX
Burleson County,2017,Third Quarter,3,8,-11.1,1162,2.1,Information,48051,TX
Burnet County,2017,Third Quarter,20,126,-40.8,765,45.4,Information,48053,TX
Caldwell County,2017,Third Quarter,6,52,8.3,337,-16.8,Information,48055,TX
Calhoun County,2017,Third Quarter,12,63,5,614,-19,Information,48057,TX
Callahan County,2017,Third Quarter,5,9,0,1710,53.1,Information,48059,TX
Cameron County,2017,Third Quarter,42,868,-10.7,872,5.2,Information,48061,TX
Camp County,2017,Third Quarter,1,,,,,Information,48063,TX
Carson County,2017,Third Quarter,3,,,,,Information,48065,TX
Cass County,2017,Third Quarter,5,48,23.1,490,-15.1,Information,48067,TX
Castro County,2017,Third Quarter,3,,,,,Information,48069,TX
Chambers County,2017,Third Quarter,3,14,55.6,763,-30.3,Information,48071,TX
Cherokee County,2017,Third Quarter,13,65,-27,869,-1.3,Information,48073,TX
Childress County,2017,Third Quarter,7,30,0,598,-10.5,Information,48075,TX
Clay County,2017,Third Quarter,1,,,,,Information,48077,TX
Coke County,2017,Third Quarter,1,,,,,Information,48081,TX
Coleman County,2017,Third Quarter,2,,,,,Information,48083,TX
Collin County,2017,Third Quarter,453,15266,2.2,2030,-7.6,Information,48085,TX
Collingsworth County,2017,Third Quarter,3,13,18.2,994,-11.6,Information,48087,TX
Colorado County,2017,Third Quarter,3,18,-18.2,410,-11.1,Information,48089,TX
Comal County,2017,Third Quarter,31,586,3.5,964,-11.8,Information,48091,TX
Comanche County,2017,Third Quarter,4,57,,964,,Information,48093,TX
Cooke County,2017,Third Quarter,9,91,-10.8,980,2.8,Information,48097,TX
Coryell County,2017,Third Quarter,28,237,3,864,-20.7,Information,48099,TX
Crockett County,2017,Third Quarter,1,,,,,Information,48105,TX
Crosby County,2017,Third Quarter,1,,,,,Information,48107,TX
Dallam County,2017,Third Quarter,5,58,20.8,1066,-0.4,Information,48111,TX
Dallas County,2017,Third Quarter,1377,48034,-2.4,1816,-0.3,Information,48113,TX
Dawson County,2017,Third Quarter,6,24,0,408,-2.9,Information,48115,TX
Deaf Smith County,2017,Third Quarter,6,84,16.7,787,-0.4,Information,48117,TX
Delta County,2017,Third Quarter,1,,,,,Information,48119,TX
Denton County,2017,Third Quarter,236,3825,15,1504,1.1,Information,48121,TX
DeWitt County,2017,Third Quarter,6,25,-3.8,889,53,Information,48123,TX
Dickens County,2017,Third Quarter,1,,,,,Information,48125,TX
Dimmit County,2017,Third Quarter,2,,,,,Information,48127,TX
Donley County,2017,Third Quarter,2,,,,,Information,48129,TX
Duval County,2017,Third Quarter,1,,,,,Information,48131,TX
Eastland County,2017,Third Quarter,6,22,-4.3,819,0.7,Information,48133,TX
Ector County,2017,Third Quarter,25,611,65.1,652,-31.2,Information,48135,TX
Edwards County,2017,Third Quarter,3,,,,,Information,48137,TX
Ellis County,2017,Third Quarter,32,430,7.2,806,0.4,Information,48139,TX
El Paso County,2017,Third Quarter,146,4867,1.3,894,1,Information,48141,TX
Erath County,2017,Third Quarter,9,62,-1.6,683,-6.8,Information,48143,TX
Falls County,2017,Third Quarter,5,,,,,Information,48145,TX
Fannin County,2017,Third Quarter,5,26,-18.8,569,-15.1,Information,48147,TX
Fayette County,2017,Third Quarter,11,110,-4.3,762,-2.7,Information,48149,TX
Fisher County,2017,Third Quarter,1,,,,,Information,48151,TX
Floyd County,2017,Third Quarter,1,,,,,Information,48153,TX
Fort Bend County,2017,Third Quarter,145,1853,4.1,1082,9.5,Information,48157,TX
Franklin County,2017,Third Quarter,1,,,,,Information,48159,TX
Freestone County,2017,Third Quarter,8,48,11.6,1283,-0.2,Information,48161,TX
Frio County,2017,Third Quarter,4,31,10.7,976,8.6,Information,48163,TX
Gaines County,2017,Third Quarter,5,29,16,551,6.8,Information,48165,TX
Galveston County,2017,Third Quarter,67,534,-9.2,1110,4.2,Information,48167,TX
Garza County,2017,Third Quarter,1,,,,,Information,48169,TX
Gillespie County,2017,Third Quarter,10,124,20.4,740,-9.5,Information,48171,TX
Goliad County,2017,Third Quarter,2,,,,,Information,48175,TX
Gonzales County,2017,Third Quarter,4,27,-27,1008,34.4,Information,48177,TX
Gray County,2017,Third Quarter,6,44,-22.8,547,28.7,Information,48179,TX
Grayson County,2017,Third Quarter,25,345,-9.4,888,-2.1,Information,48181,TX
Gregg County,2017,Third Quarter,40,676,-11.5,1002,-4.7,Information,48183,TX
Grimes County,2017,Third Quarter,4,15,-28.6,1171,8.7,Information,48185,TX
Guadalupe County,2017,Third Quarter,16,179,-23.5,1212,-1.4,Information,48187,TX
Hale County,2017,Third Quarter,5,34,-10.5,922,7.8,Information,48189,TX
Hall County,2017,Third Quarter,3,9,12.5,651,-23.8,Information,48191,TX
Hamilton County,2017,Third Quarter,4,7,-12.5,770,-4.1,Information,48193,TX
Hansford County,2017,Third Quarter,1,,,,,Information,48195,TX
Hardeman County,2017,Third Quarter,2,,,,,Information,48197,TX
Hardin County,2017,Third Quarter,9,99,4.2,1179,18.3,Information,48199,TX
Harris County,2017,Third Quarter,1183,25555,-5.5,1528,6.1,Information,48201,TX
Harrison County,2017,Third Quarter,16,158,-3.1,1125,0.2,Information,48203,TX
Hartley County,2017,Third Quarter,2,,,,,Information,48205,TX
Haskell County,2017,Third Quarter,1,,,,,Information,48207,TX
Hays County,2017,Third Quarter,50,719,10.4,1054,-9.8,Information,48209,TX
Hemphill County,2017,Third Quarter,4,22,22.2,362,5.2,Information,48211,TX
Henderson County,2017,Third Quarter,22,149,-2,650,-6.3,Information,48213,TX
Hidalgo County,2017,Third Quarter,116,2489,15.8,787,-3.7,Information,48215,TX
Hill County,2017,Third Quarter,8,35,9.4,451,-14.7,Information,48217,TX
Hockley County,2017,Third Quarter,7,55,-5.2,930,38.2,Information,48219,TX
Hood County,2017,Third Quarter,13,126,-37.9,757,18.3,Information,48221,TX
Hopkins County,2017,Third Quarter,12,125,-8.8,808,-2.9,Information,48223,TX
Houston County,2017,Third Quarter,12,54,-11.5,721,5.3,Information,48225,TX
Howard County,2017,Third Quarter,14,241,43.5,351,-24.5,Information,48227,TX
Hudspeth County,2017,Third Quarter,1,,,,,Information,48229,TX
Hunt County,2017,Third Quarter,18,149,-14.9,754,-1.2,Information,48231,TX
Hutchinson County,2017,Third Quarter,4,27,,532,,Information,48233,TX
Jack County,2017,Third Quarter,1,,,,,Information,48237,TX
Jackson County,2017,Third Quarter,6,79,-20.2,1200,37.3,Information,48239,TX
Jasper County,2017,Third Quarter,8,34,3,921,14.6,Information,48241,TX
Jeff Davis County,2017,Third Quarter,2,,,,,Information,48243,TX
Jefferson County,2017,Third Quarter,52,957,-7.1,1002,4.2,Information,48245,TX
Jim Hogg County,2017,Third Quarter,2,,,,,Information,48247,TX
Jim Wells County,2017,Third Quarter,4,29,-14.7,667,6.2,Information,48249,TX
Johnson County,2017,Third Quarter,25,453,2,939,-8.1,Information,48251,TX
Jones County,2017,Third Quarter,5,,,,,Information,48253,TX
Karnes County,2017,Third Quarter,2,,,,,Information,48255,TX
Kaufman County,2017,Third Quarter,20,119,-39.6,767,22.5,Information,48257,TX
Kendall County,2017,Third Quarter,17,116,-1.7,1044,1.8,Information,48259,TX
Kerr County,2017,Third Quarter,18,259,2.8,1015,1.1,Information,48265,TX
Kimble County,2017,Third Quarter,1,,,,,Information,48267,TX
Kleberg County,2017,Third Quarter,9,87,-3.3,2762,183.9,Information,48273,TX
