Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,109,1584,-0.8,276,0.7,Leisure and Hospitality,48001,TX
Andrews County,2017,Third Quarter,39,518,10.9,431,-3.1,Leisure and Hospitality,48003,TX
Angelina County,2017,Third Quarter,156,3496,8.9,312,0,Leisure and Hospitality,48005,TX
Aransas County,2017,Third Quarter,129,866,-40,339,-1.5,Leisure and Hospitality,48007,TX
Archer County,2017,Third Quarter,8,61,-11.6,244,9.4,Leisure and Hospitality,48009,TX
Armstrong County,2017,Third Quarter,3,24,,296,,Leisure and Hospitality,48011,TX
Atascosa County,2017,Third Quarter,93,1315,20.2,286,4.4,Leisure and Hospitality,48013,TX
Austin County,2017,Third Quarter,75,857,-4.2,312,-4.9,Leisure and Hospitality,48015,TX
Bailey County,2017,Third Quarter,16,243,1.3,270,1.5,Leisure and Hospitality,48017,TX
Bandera County,2017,Third Quarter,59,565,-0.7,379,3.6,Leisure and Hospitality,48019,TX
Bastrop County,2017,Third Quarter,148,2873,6.6,363,-9.7,Leisure and Hospitality,48021,TX
Baylor County,2017,Third Quarter,12,94,6.8,228,-13.6,Leisure and Hospitality,48023,TX
Bee County,2017,Third Quarter,62,874,7.8,285,-7.2,Leisure and Hospitality,48025,TX
Bell County,2017,Third Quarter,655,12897,6.2,297,0,Leisure and Hospitality,48027,TX
Bexar County,2017,Third Quarter,4309,113541,1.9,421,0.2,Leisure and Hospitality,48029,TX
Blanco County,2017,Third Quarter,43,372,10.7,351,3.8,Leisure and Hospitality,48031,TX
Bosque County,2017,Third Quarter,34,291,29.9,263,3.5,Leisure and Hospitality,48035,TX
Bowie County,2017,Third Quarter,212,5136,0.6,301,-0.7,Leisure and Hospitality,48037,TX
Brazoria County,2017,Third Quarter,597,11889,-1.6,331,-0.9,Leisure and Hospitality,48039,TX
Brazos County,2017,Third Quarter,521,14903,5,340,-3.1,Leisure and Hospitality,48041,TX
Brewster County,2017,Third Quarter,54,856,-0.2,395,-7.3,Leisure and Hospitality,48043,TX
Briscoe County,2017,Third Quarter,5,10,,216,,Leisure and Hospitality,48045,TX
Brooks County,2017,Third Quarter,17,285,2.9,328,-8.6,Leisure and Hospitality,48047,TX
Brown County,2017,Third Quarter,81,1371,-0.3,278,2.6,Leisure and Hospitality,48049,TX
Burleson County,2017,Third Quarter,40,360,17.6,295,-11.1,Leisure and Hospitality,48051,TX
Burnet County,2017,Third Quarter,138,1936,-0.4,423,4.4,Leisure and Hospitality,48053,TX
Caldwell County,2017,Third Quarter,74,907,-12.7,346,2.7,Leisure and Hospitality,48055,TX
Calhoun County,2017,Third Quarter,81,929,3.2,276,-8.3,Leisure and Hospitality,48057,TX
Callahan County,2017,Third Quarter,20,266,9.9,241,-3.2,Leisure and Hospitality,48059,TX
Cameron County,2017,Third Quarter,761,15510,3.3,302,-3.5,Leisure and Hospitality,48061,TX
Camp County,2017,Third Quarter,23,262,1.6,252,-3.1,Leisure and Hospitality,48063,TX
Carson County,2017,Third Quarter,15,137,31.7,247,6.5,Leisure and Hospitality,48065,TX
Cass County,2017,Third Quarter,52,662,-3.4,243,-0.4,Leisure and Hospitality,48067,TX
Castro County,2017,Third Quarter,15,87,-9.4,238,16.1,Leisure and Hospitality,48069,TX
Chambers County,2017,Third Quarter,82,1102,0.1,290,-5.2,Leisure and Hospitality,48071,TX
Cherokee County,2017,Third Quarter,61,1067,-1.7,300,6.4,Leisure and Hospitality,48073,TX
Childress County,2017,Third Quarter,23,317,-5.1,260,-6.1,Leisure and Hospitality,48075,TX
Clay County,2017,Third Quarter,4,58,11.5,219,5.3,Leisure and Hospitality,48077,TX
Cochran County,2017,Third Quarter,3,,,,,Leisure and Hospitality,48079,TX
Coke County,2017,Third Quarter,7,22,4.8,273,27,Leisure and Hospitality,48081,TX
Coleman County,2017,Third Quarter,27,244,11.4,246,5.1,Leisure and Hospitality,48083,TX
Collin County,2017,Third Quarter,2202,46612,3.8,425,2.9,Leisure and Hospitality,48085,TX
Collingsworth County,2017,Third Quarter,13,76,13.4,205,-7.7,Leisure and Hospitality,48087,TX
Colorado County,2017,Third Quarter,56,743,0.1,322,9.5,Leisure and Hospitality,48089,TX
Comal County,2017,Third Quarter,406,9811,14.8,347,-8.7,Leisure and Hospitality,48091,TX
