Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,65,665,0.6,990,-4.3,Natural Resources and Mining,48001,TX
Andrews County,2017,Third Quarter,104,1719,15.6,1548,13.3,Natural Resources and Mining,48003,TX
Angelina County,2017,Third Quarter,65,598,5.1,1550,10.6,Natural Resources and Mining,48005,TX
Aransas County,2017,Third Quarter,12,264,-3.6,875,-3,Natural Resources and Mining,48007,TX
Archer County,2017,Third Quarter,56,318,14.4,861,9.7,Natural Resources and Mining,48009,TX
Armstrong County,2017,Third Quarter,8,,,,,Natural Resources and Mining,48011,TX
Atascosa County,2017,Third Quarter,100,2063,29.4,1332,1.6,Natural Resources and Mining,48013,TX
Austin County,2017,Third Quarter,49,207,-4.6,838,-0.7,Natural Resources and Mining,48015,TX
Bailey County,2017,Third Quarter,78,743,25.9,655,-7.5,Natural Resources and Mining,48017,TX
Bandera County,2017,Third Quarter,42,129,-12.2,614,6.8,Natural Resources and Mining,48019,TX
Bastrop County,2017,Third Quarter,51,456,-0.2,1004,-17.2,Natural Resources and Mining,48021,TX
Baylor County,2017,Third Quarter,29,67,,533,,Natural Resources and Mining,48023,TX
Bee County,2017,Third Quarter,59,336,-37.8,1010,-7.3,Natural Resources and Mining,48025,TX
Bell County,2017,Third Quarter,51,410,-0.5,851,2.9,Natural Resources and Mining,48027,TX
Bexar County,2017,Third Quarter,346,5286,13.3,1707,6.6,Natural Resources and Mining,48029,TX
Blanco County,2017,Third Quarter,29,176,5.4,875,5.4,Natural Resources and Mining,48031,TX
Borden County,2017,Third Quarter,14,,,,,Natural Resources and Mining,48033,TX
Bosque County,2017,Third Quarter,40,125,-9.4,708,-5.7,Natural Resources and Mining,48035,TX
Bowie County,2017,Third Quarter,35,123,-27.6,669,-31.7,Natural Resources and Mining,48037,TX
Brazoria County,2017,Third Quarter,103,1723,-5.1,1868,-0.9,Natural Resources and Mining,48039,TX
Brazos County,2017,Third Quarter,136,1884,10.9,1286,11.1,Natural Resources and Mining,48041,TX
Brewster County,2017,Third Quarter,21,83,33.9,596,-4.8,Natural Resources and Mining,48043,TX
Briscoe County,2017,Third Quarter,27,58,-3.3,518,-5.8,Natural Resources and Mining,48045,TX
Brooks County,2017,Third Quarter,23,302,44.5,984,3.3,Natural Resources and Mining,48047,TX
Brown County,2017,Third Quarter,31,165,-9.3,1030,13.1,Natural Resources and Mining,48049,TX
Burleson County,2017,Third Quarter,61,411,20.2,1000,22.2,Natural Resources and Mining,48051,TX
Burnet County,2017,Third Quarter,38,172,11.7,714,7.7,Natural Resources and Mining,48053,TX
Caldwell County,2017,Third Quarter,50,436,27.5,772,-2.4,Natural Resources and Mining,48055,TX
Calhoun County,2017,Third Quarter,29,220,0.5,1100,-6,Natural Resources and Mining,48057,TX
Callahan County,2017,Third Quarter,18,74,-1.3,773,-5.8,Natural Resources and Mining,48059,TX
Cameron County,2017,Third Quarter,167,755,6.6,645,-4.4,Natural Resources and Mining,48061,TX
Camp County,2017,Third Quarter,11,,,,,Natural Resources and Mining,48063,TX
Carson County,2017,Third Quarter,37,,,,,Natural Resources and Mining,48065,TX
Cass County,2017,Third Quarter,34,295,9.7,924,3.6,Natural Resources and Mining,48067,TX
Castro County,2017,Third Quarter,112,907,-2.6,708,2,Natural Resources and Mining,48069,TX
Chambers County,2017,Third Quarter,54,256,-63.1,1042,-38.3,Natural Resources and Mining,48071,TX
Cherokee County,2017,Third Quarter,50,339,9,609,-62.8,Natural Resources and Mining,48073,TX
Childress County,2017,Third Quarter,31,77,-2.5,822,27.4,Natural Resources and Mining,48075,TX
Clay County,2017,Third Quarter,34,67,-4.3,538,17.5,Natural Resources and Mining,48077,TX
Cochran County,2017,Third Quarter,47,152,0,787,10.8,Natural Resources and Mining,48079,TX
Coke County,2017,Third Quarter,10,,,,,Natural Resources and Mining,48081,TX
Coleman County,2017,Third Quarter,24,55,7.8,649,4.3,Natural Resources and Mining,48083,TX
Collin County,2017,Third Quarter,145,1499,47.7,2933,26.9,Natural Resources and Mining,48085,TX
Collingsworth County,2017,Third Quarter,21,66,17.9,638,-2.1,Natural Resources and Mining,48087,TX
Colorado County,2017,Third Quarter,87,496,5.5,881,11.2,Natural Resources and Mining,48089,TX
Comal County,2017,Third Quarter,44,566,3.1,1244,-5.8,Natural Resources and Mining,48091,TX
Comanche County,2017,Third Quarter,64,679,-4.9,613,7,Natural Resources and Mining,48093,TX
Concho County,2017,Third Quarter,13,46,15,501,1.4,Natural Resources and Mining,48095,TX
Cooke County,2017,Third Quarter,97,1140,23.8,1220,1.9,Natural Resources and Mining,48097,TX
Coryell County,2017,Third Quarter,25,127,-19.1,856,-38.3,Natural Resources and Mining,48099,TX
Cottle County,2017,Third Quarter,6,,,,,Natural Resources and Mining,48101,TX
Crane County,2017,Third Quarter,14,255,-31.3,1381,-11,Natural Resources and Mining,48103,TX
Crockett County,2017,Third Quarter,50,303,39,1228,9.1,Natural Resources and Mining,48105,TX
Crosby County,2017,Third Quarter,94,271,-1.8,551,-0.4,Natural Resources and Mining,48107,TX
Culberson County,2017,Third Quarter,11,76,-30.9,745,5.7,Natural Resources and Mining,48109,TX
Dallam County,2017,Third Quarter,65,1463,1.1,657,-13.4,Natural Resources and Mining,48111,TX
Dallas County,2017,Third Quarter,542,8771,2.9,3602,2.3,Natural Resources and Mining,48113,TX
Dawson County,2017,Third Quarter,203,850,8.4,865,6,Natural Resources and Mining,48115,TX
Deaf Smith County,2017,Third Quarter,93,1412,1,777,8.8,Natural Resources and Mining,48117,TX
Delta County,2017,Third Quarter,10,,,,,Natural Resources and Mining,48119,TX
Denton County,2017,Third Quarter,135,707,-10.5,1221,6.9,Natural Resources and Mining,48121,TX
DeWitt County,2017,Third Quarter,68,632,25.9,1309,2.7,Natural Resources and Mining,48123,TX
Dickens County,2017,Third Quarter,12,,,,,Natural Resources and Mining,48125,TX
Dimmit County,2017,Third Quarter,68,1708,63.1,1322,3.8,Natural Resources and Mining,48127,TX
Donley County,2017,Third Quarter,20,61,-30.7,638,-0.3,Natural Resources and Mining,48129,TX
Duval County,2017,Third Quarter,34,440,-0.7,1065,7.6,Natural Resources and Mining,48131,TX
Eastland County,2017,Third Quarter,56,947,39.7,1655,28.4,Natural Resources and Mining,48133,TX
Ector County,2017,Third Quarter,354,10842,39.3,1728,11.9,Natural Resources and Mining,48135,TX
Edwards County,2017,Third Quarter,21,40,-2.4,463,-3.3,Natural Resources and Mining,48137,TX
Ellis County,2017,Third Quarter,45,202,-7.8,1000,-0.3,Natural Resources and Mining,48139,TX
El Paso County,2017,Third Quarter,95,860,1.1,568,1.6,Natural Resources and Mining,48141,TX
Erath County,2017,Third Quarter,118,1134,9.7,709,6.5,Natural Resources and Mining,48143,TX
Falls County,2017,Third Quarter,24,170,-8.6,811,7.3,Natural Resources and Mining,48145,TX
Fannin County,2017,Third Quarter,28,190,25.8,754,7.6,Natural Resources and Mining,48147,TX
