Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,242,1169,-25.8,1086,-8,Professional and Business Services,48001,TX
Andrews County,2017,Third Quarter,36,351,-0.6,1429,11.1,Professional and Business Services,48003,TX
Angelina County,2017,Third Quarter,244,2970,4.9,733,-4.8,Professional and Business Services,48005,TX
Aransas County,2017,Third Quarter,75,445,-29.5,1155,0.8,Professional and Business Services,48007,TX
Archer County,2017,Third Quarter,29,160,17.6,693,3.3,Professional and Business Services,48009,TX
Armstrong County,2017,Third Quarter,10,34,-26.1,1417,22.2,Professional and Business Services,48011,TX
Atascosa County,2017,Third Quarter,91,630,-0.3,911,10.6,Professional and Business Services,48013,TX
Austin County,2017,Third Quarter,210,667,-9.4,1193,-3.6,Professional and Business Services,48015,TX
Bailey County,2017,Third Quarter,17,41,-14.6,891,4.2,Professional and Business Services,48017,TX
Bandera County,2017,Third Quarter,59,139,-17.3,685,-3.4,Professional and Business Services,48019,TX
Bastrop County,2017,Third Quarter,196,918,52,700,-12.8,Professional and Business Services,48021,TX
Baylor County,2017,Third Quarter,19,56,19.1,833,-1.8,Professional and Business Services,48023,TX
Bee County,2017,Third Quarter,56,299,-4.2,842,-7.7,Professional and Business Services,48025,TX
Bell County,2017,Third Quarter,726,7922,0.3,991,12,Professional and Business Services,48027,TX
Bexar County,2017,Third Quarter,7110,117772,1.9,1042,2.2,Professional and Business Services,48029,TX
Blanco County,2017,Third Quarter,49,388,-12,1402,19.2,Professional and Business Services,48031,TX
Borden County,2017,Third Quarter,9,13,-18.8,1304,-3.3,Professional and Business Services,48033,TX
Bosque County,2017,Third Quarter,34,172,-24.9,687,27.2,Professional and Business Services,48035,TX
Bowie County,2017,Third Quarter,319,2680,-10.2,744,13.1,Professional and Business Services,48037,TX
Brazoria County,2017,Third Quarter,877,8686,6.3,1134,-0.2,Professional and Business Services,48039,TX
Brazos County,2017,Third Quarter,805,8629,4,906,-5.8,Professional and Business Services,48041,TX
Brewster County,2017,Third Quarter,45,196,18.1,931,-14.7,Professional and Business Services,48043,TX
Briscoe County,2017,Third Quarter,5,9,28.6,817,12.2,Professional and Business Services,48045,TX
Brooks County,2017,Third Quarter,13,147,-2,722,4.9,Professional and Business Services,48047,TX
Brown County,2017,Third Quarter,91,700,1,606,-0.8,Professional and Business Services,48049,TX
Burleson County,2017,Third Quarter,36,216,17.4,999,-11.6,Professional and Business Services,48051,TX
Burnet County,2017,Third Quarter,186,1039,18.7,860,6.3,Professional and Business Services,48053,TX
Caldwell County,2017,Third Quarter,67,374,-15,641,6.5,Professional and Business Services,48055,TX
Calhoun County,2017,Third Quarter,90,791,-9.8,1123,-3.8,Professional and Business Services,48057,TX
Callahan County,2017,Third Quarter,22,73,21.7,1034,29.9,Professional and Business Services,48059,TX
Cameron County,2017,Third Quarter,758,11566,0.3,587,-4.6,Professional and Business Services,48061,TX
Camp County,2017,Third Quarter,21,135,11.6,519,-5.5,Professional and Business Services,48063,TX
Carson County,2017,Third Quarter,13,94,59.3,1503,75.2,Professional and Business Services,48065,TX
Cass County,2017,Third Quarter,48,252,-7.4,759,3,Professional and Business Services,48067,TX
Castro County,2017,Third Quarter,12,58,-61.3,959,-12.5,Professional and Business Services,48069,TX
Chambers County,2017,Third Quarter,81,1252,3.3,1103,-4.8,Professional and Business Services,48071,TX
Cherokee County,2017,Third Quarter,97,1013,-6.6,634,3.9,Professional and Business Services,48073,TX
Childress County,2017,Third Quarter,29,127,15.5,1093,-10.4,Professional and Business Services,48075,TX
Clay County,2017,Third Quarter,12,,,,,Professional and Business Services,48077,TX
Cochran County,2017,Third Quarter,1,,,,,Professional and Business Services,48079,TX
Coke County,2017,Third Quarter,9,68,25.9,1764,17.7,Professional and Business Services,48081,TX
Coleman County,2017,Third Quarter,19,58,7.4,518,-2.8,Professional and Business Services,48083,TX
Collin County,2017,Third Quarter,6582,71855,1.6,1573,2.3,Professional and Business Services,48085,TX
Collingsworth County,2017,Third Quarter,7,29,-37,630,-42.7,Professional and Business Services,48087,TX
Colorado County,2017,Third Quarter,57,267,0.8,808,-0.2,Professional and Business Services,48089,TX
Comal County,2017,Third Quarter,651,6428,19.8,986,-1.2,Professional and Business Services,48091,TX
Comanche County,2017,Third Quarter,23,130,-4.4,1007,10.5,Professional and Business Services,48093,TX
Concho County,2017,Third Quarter,3,36,,2914,,Professional and Business Services,48095,TX
Cooke County,2017,Third Quarter,106,519,3.4,901,-13.8,Professional and Business Services,48097,TX
Coryell County,2017,Third Quarter,244,1653,9.9,1222,7,Professional and Business Services,48099,TX
Cottle County,2017,Third Quarter,4,11,-82.5,632,-36,Professional and Business Services,48101,TX
Crane County,2017,Third Quarter,8,54,-12.9,585,-16.7,Professional and Business Services,48103,TX
Crockett County,2017,Third Quarter,19,40,-2.4,768,-17.9,Professional and Business Services,48105,TX
