Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,381,5088,2.2,804,0.4,"Trade,Transportation, and Utilities",48001,TX
Andrews County,2017,Third Quarter,117,1474,10.3,1105,7.2,"Trade,Transportation, and Utilities",48003,TX
Angelina County,2017,Third Quarter,475,6811,-2.9,709,0.4,"Trade,Transportation, and Utilities",48005,TX
Aransas County,2017,Third Quarter,118,939,-24.2,823,5.6,"Trade,Transportation, and Utilities",48007,TX
Archer County,2017,Third Quarter,50,337,3.4,670,1.7,"Trade,Transportation, and Utilities",48009,TX
Armstrong County,2017,Third Quarter,10,37,-14,521,8.5,"Trade,Transportation, and Utilities",48011,TX
Atascosa County,2017,Third Quarter,215,2968,9,967,9.9,"Trade,Transportation, and Utilities",48013,TX
Austin County,2017,Third Quarter,217,2819,-3.7,850,-0.8,"Trade,Transportation, and Utilities",48015,TX
Bailey County,2017,Third Quarter,61,581,-2.8,958,-12.7,"Trade,Transportation, and Utilities",48017,TX
Bandera County,2017,Third Quarter,86,585,0.2,626,-2,"Trade,Transportation, and Utilities",48019,TX
Bastrop County,2017,Third Quarter,268,4007,0.6,617,-1.3,"Trade,Transportation, and Utilities",48021,TX
Baylor County,2017,Third Quarter,31,239,11.7,804,38.1,"Trade,Transportation, and Utilities",48023,TX
Bee County,2017,Third Quarter,118,1426,0.3,669,4.4,"Trade,Transportation, and Utilities",48025,TX
Bell County,2017,Third Quarter,1183,23052,-0.3,699,-0.3,"Trade,Transportation, and Utilities",48027,TX
Bexar County,2017,Third Quarter,7674,141484,0.4,764,-2.4,"Trade,Transportation, and Utilities",48029,TX
Blanco County,2017,Third Quarter,72,562,18.3,949,12.6,"Trade,Transportation, and Utilities",48031,TX
Borden County,2017,Third Quarter,8,29,-67.8,417,17.8,"Trade,Transportation, and Utilities",48033,TX
Bosque County,2017,Third Quarter,78,570,7.8,668,-3.6,"Trade,Transportation, and Utilities",48035,TX
Bowie County,2017,Third Quarter,556,8874,-4.5,701,-2,"Trade,Transportation, and Utilities",48037,TX
Brazoria County,2017,Third Quarter,1259,19666,2.9,730,0,"Trade,Transportation, and Utilities",48039,TX
Brazos County,2017,Third Quarter,915,13854,1.2,623,0.6,"Trade,Transportation, and Utilities",48041,TX
Brewster County,2017,Third Quarter,76,514,3.8,677,-8.5,"Trade,Transportation, and Utilities",48043,TX
Briscoe County,2017,Third Quarter,11,37,15.6,532,-2.9,"Trade,Transportation, and Utilities",48045,TX
Brooks County,2017,Third Quarter,26,276,11.3,736,25.6,"Trade,Transportation, and Utilities",48047,TX
Brown County,2017,Third Quarter,240,2792,-1,579,3.9,"Trade,Transportation, and Utilities",48049,TX
Burleson County,2017,Third Quarter,100,1036,0.5,788,-4.6,"Trade,Transportation, and Utilities",48051,TX
Burnet County,2017,Third Quarter,244,2947,1.2,756,-4.3,"Trade,Transportation, and Utilities",48053,TX
Caldwell County,2017,Third Quarter,136,1904,-1.1,810,6.4,"Trade,Transportation, and Utilities",48055,TX
Calhoun County,2017,Third Quarter,103,1166,-3.2,830,7.7,"Trade,Transportation, and Utilities",48057,TX
Callahan County,2017,Third Quarter,55,554,9.9,910,12.3,"Trade,Transportation, and Utilities",48059,TX
Cameron County,2017,Third Quarter,1676,24965,-2.7,569,-1.7,"Trade,Transportation, and Utilities",48061,TX
Camp County,2017,Third Quarter,61,1075,-4,950,-0.8,"Trade,Transportation, and Utilities",48063,TX
Carson County,2017,Third Quarter,35,275,-26.5,726,14.5,"Trade,Transportation, and Utilities",48065,TX
Cass County,2017,Third Quarter,124,1196,-3.7,567,-4.1,"Trade,Transportation, and Utilities",48067,TX
Castro County,2017,Third Quarter,74,533,9.9,716,-0.1,"Trade,Transportation, and Utilities",48069,TX
Chambers County,2017,Third Quarter,179,3563,8,937,10.4,"Trade,Transportation, and Utilities",48071,TX
Cherokee County,2017,Third Quarter,187,2610,-0.7,715,5,"Trade,Transportation, and Utilities",48073,TX
Childress County,2017,Third Quarter,37,457,-12.8,621,-16.2,"Trade,Transportation, and Utilities",48075,TX
Clay County,2017,Third Quarter,40,319,1.9,803,17.1,"Trade,Transportation, and Utilities",48077,TX
Cochran County,2017,Third Quarter,17,98,4.3,720,2.6,"Trade,Transportation, and Utilities",48079,TX
Coke County,2017,Third Quarter,20,96,-20,494,28,"Trade,Transportation, and Utilities",48081,TX
Coleman County,2017,Third Quarter,50,398,-6.8,509,4.3,"Trade,Transportation, and Utilities",48083,TX
Collin County,2017,Third Quarter,4420,67454,2.6,915,-1.8,"Trade,Transportation, and Utilities",48085,TX
Collingsworth County,2017,Third Quarter,21,148,6.5,885,11,"Trade,Transportation, and Utilities",48087,TX
Colorado County,2017,Third Quarter,149,1398,-0.6,673,-1.2,"Trade,Transportation, and Utilities",48089,TX
Comal County,2017,Third Quarter,716,12719,-1.9,800,1.4,"Trade,Transportation, and Utilities",48091,TX
Comanche County,2017,Third Quarter,84,810,-0.5,633,1.6,"Trade,Transportation, and Utilities",48093,TX
Concho County,2017,Third Quarter,14,80,3.9,783,41.6,"Trade,Transportation, and Utilities",48095,TX
Cooke County,2017,Third Quarter,244,2779,-5,732,1.7,"Trade,Transportation, and Utilities",48097,TX
Coryell County,2017,Third Quarter,292,3401,35.6,651,4.3,"Trade,Transportation, and Utilities",48099,TX
Cottle County,2017,Third Quarter,16,91,-8.1,768,10,"Trade,Transportation, and Utilities",48101,TX
Crane County,2017,Third Quarter,31,264,-2.2,987,-0.1,"Trade,Transportation, and Utilities",48103,TX
Crockett County,2017,Third Quarter,34,294,-13,698,12.8,"Trade,Transportation, and Utilities",48105,TX
Crosby County,2017,Third Quarter,36,308,5.5,877,3.7,"Trade,Transportation, and Utilities",48107,TX
Culberson County,2017,Third Quarter,19,203,-51.8,667,38.7,"Trade,Transportation, and Utilities",48109,TX
Dallam County,2017,Third Quarter,95,901,5.3,836,-2.9,"Trade,Transportation, and Utilities",48111,TX
Dallas County,2017,Third Quarter,16016,346577,2.4,1051,-8.5,"Trade,Transportation, and Utilities",48113,TX
Dawson County,2017,Third Quarter,92,966,-9.7,835,5.6,"Trade,Transportation, and Utilities",48115,TX
Deaf Smith County,2017,Third Quarter,116,1640,-7.2,804,-1.3,"Trade,Transportation, and Utilities",48117,TX
Delta County,2017,Third Quarter,15,50,-10.7,1060,61.1,"Trade,Transportation, and Utilities",48119,TX
Denton County,2017,Third Quarter,3029,57672,10.2,828,-3.3,"Trade,Transportation, and Utilities",48121,TX
DeWitt County,2017,Third Quarter,97,1032,-9.3,735,10,"Trade,Transportation, and Utilities",48123,TX
Dickens County,2017,Third Quarter,14,88,1.1,686,-9,"Trade,Transportation, and Utilities",48125,TX
Dimmit County,2017,Third Quarter,59,806,-0.7,835,10.7,"Trade,Transportation, and Utilities",48127,TX
Donley County,2017,Third Quarter,20,132,-0.8,548,1.9,"Trade,Transportation, and Utilities",48129,TX
Duval County,2017,Third Quarter,39,298,-12.4,820,1.4,"Trade,Transportation, and Utilities",48131,TX
Eastland County,2017,Third Quarter,116,1290,1.1,734,1.7,"Trade,Transportation, and Utilities",48133,TX
Ector County,2017,Third Quarter,1088,16319,4.4,1013,9.9,"Trade,Transportation, and Utilities",48135,TX
Edwards County,2017,Third Quarter,8,78,-7.1,437,-3.5,"Trade,Transportation, and Utilities",48137,TX
Ellis County,2017,Third Quarter,670,11065,0.9,726,-1.1,"Trade,Transportation, and Utilities",48139,TX
El Paso County,2017,Third Quarter,4131,64785,-0.7,657,-0.3,"Trade,Transportation, and Utilities",48141,TX
Erath County,2017,Third Quarter,244,2806,-4.2,639,4.6,"Trade,Transportation, and Utilities",48143,TX
Falls County,2017,Third Quarter,72,666,0.8,616,10.4,"Trade,Transportation, and Utilities",48145,TX
Fannin County,2017,Third Quarter,119,1363,2.1,680,-2.4,"Trade,Transportation, and Utilities",48147,TX
Fayette County,2017,Third Quarter,175,2164,-3.1,724,1.3,"Trade,Transportation, and Utilities",48149,TX
Fisher County,2017,Third Quarter,30,143,-6.5,1051,32.5,"Trade,Transportation, and Utilities",48151,TX
Floyd County,2017,Third Quarter,45,314,-0.3,865,5.7,"Trade,Transportation, and Utilities",48153,TX
Foard County,2017,Third Quarter,9,60,1.7,626,8.3,"Trade,Transportation, and Utilities",48155,TX
Fort Bend County,2017,Third Quarter,2775,37953,3.7,785,-1.1,"Trade,Transportation, and Utilities",48157,TX
Franklin County,2017,Third Quarter,38,1175,-3,778,20.2,"Trade,Transportation, and Utilities",48159,TX
Freestone County,2017,Third Quarter,81,833,-8.1,820,-12.7,"Trade,Transportation, and Utilities",48161,TX
Frio County,2017,Third Quarter,94,1174,-1.9,928,-3.2,"Trade,Transportation, and Utilities",48163,TX
Gaines County,2017,Third Quarter,130,1208,4.7,883,-4.3,"Trade,Transportation, and Utilities",48165,TX
Galveston County,2017,Third Quarter,1359,19064,0.7,710,0.6,"Trade,Transportation, and Utilities",48167,TX
Garza County,2017,Third Quarter,28,253,-9,936,27.7,"Trade,Transportation, and Utilities",48169,TX
Gillespie County,2017,Third Quarter,229,2266,4.7,564,-2.9,"Trade,Transportation, and Utilities",48171,TX
Glasscock County,2017,Third Quarter,10,68,47.8,1098,-10.6,"Trade,Transportation, and Utilities",48173,TX
Goliad County,2017,Third Quarter,30,226,-13.1,563,2.9,"Trade,Transportation, and Utilities",48175,TX
Gonzales County,2017,Third Quarter,121,1547,-4.5,808,8.9,"Trade,Transportation, and Utilities",48177,TX
Gray County,2017,Third Quarter,143,1529,-6.9,724,9.9,"Trade,Transportation, and Utilities",48179,TX
Grayson County,2017,Third Quarter,595,7976,-0.9,687,-3.9,"Trade,Transportation, and Utilities",48181,TX
Gregg County,2017,Third Quarter,1024,15158,-1.2,832,1.1,"Trade,Transportation, and Utilities",48183,TX
Grimes County,2017,Third Quarter,112,1544,3.1,825,1.4,"Trade,Transportation, and Utilities",48185,TX
Guadalupe County,2017,Third Quarter,436,11758,16.9,653,-4.1,"Trade,Transportation, and Utilities",48187,TX
Hale County,2017,Third Quarter,197,3383,-1.2,719,3,"Trade,Transportation, and Utilities",48189,TX
Hall County,2017,Third Quarter,23,144,30.9,514,-0.2,"Trade,Transportation, and Utilities",48191,TX
Hamilton County,2017,Third Quarter,60,577,1.4,654,3.8,"Trade,Transportation, and Utilities",48193,TX
Hansford County,2017,Third Quarter,48,384,3.8,1013,0.2,"Trade,Transportation, and Utilities",48195,TX
Hardeman County,2017,Third Quarter,26,209,19.4,586,-2.3,"Trade,Transportation, and Utilities",48197,TX
Hardin County,2017,Third Quarter,200,2650,-12.9,677,-15.2,"Trade,Transportation, and Utilities",48199,TX
Harris County,2017,Third Quarter,25048,463558,0.1,1138,0.3,"Trade,Transportation, and Utilities",48201,TX
Harrison County,2017,Third Quarter,314,3882,-1.7,821,-2.8,"Trade,Transportation, and Utilities",48203,TX
Hartley County,2017,Third Quarter,33,411,-0.5,604,-5.9,"Trade,Transportation, and Utilities",48205,TX
Haskell County,2017,Third Quarter,46,425,-4.7,615,7,"Trade,Transportation, and Utilities",48207,TX
Hays County,2017,Third Quarter,890,16472,3.2,595,-2,"Trade,Transportation, and Utilities",48209,TX
Hemphill County,2017,Third Quarter,41,471,-11.3,1125,-7.9,"Trade,Transportation, and Utilities",48211,TX
Henderson County,2017,Third Quarter,320,3270,-3.1,599,4.9,"Trade,Transportation, and Utilities",48213,TX
Hidalgo County,2017,Third Quarter,3574,52388,-1.8,619,1.3,"Trade,Transportation, and Utilities",48215,TX
Hill County,2017,Third Quarter,202,2275,0.6,585,4.5,"Trade,Transportation, and Utilities",48217,TX
Hockley County,2017,Third Quarter,116,1615,-3.7,926,7.2,"Trade,Transportation, and Utilities",48219,TX
Hood County,2017,Third Quarter,288,3465,1.3,678,4.3,"Trade,Transportation, and Utilities",48221,TX
Hopkins County,2017,Third Quarter,235,3492,-0.1,763,3,"Trade,Transportation, and Utilities",48223,TX
Houston County,2017,Third Quarter,174,1479,18,967,15.5,"Trade,Transportation, and Utilities",48225,TX
Howard County,2017,Third Quarter,190,2298,3.1,791,1.3,"Trade,Transportation, and Utilities",48227,TX
