Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,33,70,150,878,-1.5,Unclassified,48001,TX
Andrews County,2017,Third Quarter,3,1,,1059,2421.4,Unclassified,48003,TX
Angelina County,2017,Third Quarter,6,10,,840,,Unclassified,48005,TX
Aransas County,2017,Third Quarter,11,9,200,441,16.1,Unclassified,48007,TX
Armstrong County,2017,Third Quarter,1,3,,615,,Unclassified,48011,TX
Atascosa County,2017,Third Quarter,6,9,12.5,544,82.6,Unclassified,48013,TX
Austin County,2017,Third Quarter,20,41,17.1,1250,-7.1,Unclassified,48015,TX
Bailey County,2017,Third Quarter,5,,,,,Unclassified,48017,TX
Bandera County,2017,Third Quarter,1,4,33.3,303,-25,Unclassified,48019,TX
Bastrop County,2017,Third Quarter,12,,,,,Unclassified,48021,TX
Bee County,2017,Third Quarter,5,9,80,440,20.2,Unclassified,48025,TX
Bell County,2017,Third Quarter,29,36,24.1,420,-20.6,Unclassified,48027,TX
Bexar County,2017,Third Quarter,385,735,130.4,580,-14.1,Unclassified,48029,TX
Blanco County,2017,Third Quarter,1,,,,,Unclassified,48031,TX
Bosque County,2017,Third Quarter,4,7,133.3,388,-36.2,Unclassified,48035,TX
Bowie County,2017,Third Quarter,21,32,190.9,576,-40.7,Unclassified,48037,TX
Brazoria County,2017,Third Quarter,47,73,87.2,617,13.2,Unclassified,48039,TX
Brazos County,2017,Third Quarter,56,128,137,432,24.5,Unclassified,48041,TX
Brewster County,2017,Third Quarter,3,6,100,552,-65.5,Unclassified,48043,TX
Briscoe County,2017,Third Quarter,1,,,,,Unclassified,48045,TX
Brooks County,2017,Third Quarter,1,0,,0,,Unclassified,48047,TX
Brown County,2017,Third Quarter,5,15,,423,,Unclassified,48049,TX
Burleson County,2017,Third Quarter,9,25,47.1,434,14.2,Unclassified,48051,TX
Burnet County,2017,Third Quarter,11,18,125,598,-11.8,Unclassified,48053,TX
Caldwell County,2017,Third Quarter,5,17,88.9,687,-10.2,Unclassified,48055,TX
Calhoun County,2017,Third Quarter,5,12,71.4,489,157.4,Unclassified,48057,TX
Callahan County,2017,Third Quarter,1,0,,0,,Unclassified,48059,TX
Cameron County,2017,Third Quarter,55,126,80,594,5.1,Unclassified,48061,TX
Camp County,2017,Third Quarter,2,,,,,Unclassified,48063,TX
Carson County,2017,Third Quarter,2,,,,,Unclassified,48065,TX
Cass County,2017,Third Quarter,3,8,166.7,274,-20.3,Unclassified,48067,TX
Castro County,2017,Third Quarter,3,,,,,Unclassified,48069,TX
Chambers County,2017,Third Quarter,10,16,14.3,396,-14.7,Unclassified,48071,TX
Cherokee County,2017,Third Quarter,6,16,23.1,411,55.1,Unclassified,48073,TX
Clay County,2017,Third Quarter,1,8,,253,,Unclassified,48077,TX
Cochran County,2017,Third Quarter,3,2,,472,,Unclassified,48079,TX
Coke County,2017,Third Quarter,1,1,-50,211,-93.3,Unclassified,48081,TX
Coleman County,2017,Third Quarter,3,,,,,Unclassified,48083,TX
Collin County,2017,Third Quarter,297,490,23.4,885,21.4,Unclassified,48085,TX
Collingsworth County,2017,Third Quarter,3,,,,,Unclassified,48087,TX
Colorado County,2017,Third Quarter,7,13,,331,,Unclassified,48089,TX
Comal County,2017,Third Quarter,30,50,-10.7,520,-17.2,Unclassified,48091,TX
Comanche County,2017,Third Quarter,1,4,0,569,-12.6,Unclassified,48093,TX
Concho County,2017,Third Quarter,1,0,,0,,Unclassified,48095,TX
Cooke County,2017,Third Quarter,5,9,-40,669,3.1,Unclassified,48097,TX
Coryell County,2017,Third Quarter,12,38,660,1019,26.9,Unclassified,48099,TX
Cottle County,2017,Third Quarter,4,,,,,Unclassified,48101,TX
Crane County,2017,Third Quarter,1,0,,0,,Unclassified,48103,TX
Crosby County,2017,Third Quarter,3,,,,,Unclassified,48107,TX
Dallam County,2017,Third Quarter,9,13,62.5,315,24.5,Unclassified,48111,TX
Dallas County,2017,Third Quarter,887,1462,48.6,1612,99.3,Unclassified,48113,TX
Dawson County,2017,Third Quarter,8,10,233.3,550,21.1,Unclassified,48115,TX
Deaf Smith County,2017,Third Quarter,2,3,200,513,-17.9,Unclassified,48117,TX
Denton County,2017,Third Quarter,127,239,82.4,852,-19.2,Unclassified,48121,TX
DeWitt County,2017,Third Quarter,5,7,-58.8,732,70.6,Unclassified,48123,TX
Dimmit County,2017,Third Quarter,4,,,,,Unclassified,48127,TX
Donley County,2017,Third Quarter,2,,,,,Unclassified,48129,TX
Duval County,2017,Third Quarter,2,,,,,Unclassified,48131,TX
Eastland County,2017,Third Quarter,1,0,,1131,,Unclassified,48133,TX
Ector County,2017,Third Quarter,18,46,820,367,-55.5,Unclassified,48135,TX
Edwards County,2017,Third Quarter,1,3,,608,,Unclassified,48137,TX
Ellis County,2017,Third Quarter,30,55,161.9,498,-20.7,Unclassified,48139,TX
El Paso County,2017,Third Quarter,139,261,82.5,513,15,Unclassified,48141,TX
Erath County,2017,Third Quarter,8,9,80,442,291.2,Unclassified,48143,TX
Falls County,2017,Third Quarter,2,,,,,Unclassified,48145,TX
Fannin County,2017,Third Quarter,2,5,25,730,122.6,Unclassified,48147,TX
