Name,"Nominal damage
(Billions USD)",Normalized damage (Billions USD),Season,"Storm classification
at peak intensity"
Katrina,$125.0,$116.9,2005,Category 5 hurricane
Harvey,$125.0,$62.2,2017,Category 4 hurricane
Maria,$91.6,N/A,2017,Category 5 hurricane
Sandy,$68.7,$73.5,2012,Category 3 hurricane
Irma,$64.8,$31.0,2017,Category 5 hurricane
Ike,$38.0,$35.2,2008,Category 4 hurricane
Wilma,$27.4,$31.9,2005,Category 5 hurricane
Andrew,$27.3,$106.0,1992,Category 5 hurricane
Ivan,$26.1,$25.9,2004,Category 5 hurricane
Michael,>$25.1,N/A,2018,Category 5 hurricane
Florence,>$24.0,N/A,2018,Category 4 hurricane
Rita,$18.5,$14.9,2005,Category 5 hurricane
Charley,$16.9,$26.9,2004,Category 4 hurricane
Matthew,$15.1,$8.6,2016,Category 5 hurricane
Irene,$14.2,$10.8,2011,Category 3 hurricane
Frances,$10.1,$16.5,2004,Category 4 hurricane
Hugo,$9.47,$25.1,1989,Category 5 hurricane
Georges,$9.37,<$6.0,1998,Category 4 hurricane
Allison,$8.5,<$6.0,2001,Tropical storm
Gustav,$8.31,<$6.0,2008,Category 4 hurricane
Jeanne,$7.94,$13.6,2004,Category 3 hurricane
Floyd,$6.5,$13.9,1999,Category 4 hurricane
Mitch,$6.08,<$6.0,1998,Category 5 hurricane
Isabel,$5.5,<$6.0,2003,Category 5 hurricane
Fran,$5.0,$11.1,1996,Category 3 hurricane
Opal,$4.7,$10.0,1995,Category 4 hurricane
Karl ,$3.9,<$6.0,2010,Category 3 hurricane
Dennis,$3.98,<$6.0,2005,Category 4 hurricane
Stan,$3.96,<$6.0,2005,Category 1 hurricane
Isaac ,$3.11,<$6.0,2012,Category 1 hurricane
Alicia,$3.0,$13.6,1983,Category 3 hurricane
Gilbert,$2.98,<$6.0,1988,Category 5 hurricane
Luis,$2.97,<$6.0,1995,Category 4 hurricane
Lee ,$2.8,<$6.0,2011,Tropical storm
Michelle,$2.35,<$6.0,2001,Category 4 hurricane
Agnes,$2.1,$26.0,1972,Category 1 hurricane
Marilyn,$2.1,<$6.0,1995,Category 3 hurricane
Dean,$1.95,<$6.0,2007,Category 5 hurricane
Fifi,$1.8,<$6.0,1974,Category 2 hurricane
Joan,$1.87,<$6.0,1988,Category 4 hurricane
Frederic,$1.77,<$6.0,1979,Category 4 hurricane
Dolly ,$1.6,<$6.0,2008,Category 2 hurricane
Ingrid,$1.5,<$6.0,2013,Category 1 hurricane
Roxanne,$1.5,<$6.0,1995,Category 3 hurricane
Bob,$1.5,<$6.0,1991,Category 3 hurricane
Juan ,$1.5,<$6.0,1985,Category 1 hurricane
Allen,$1.57,<$6.0,1980,Category 5 hurricane
David,$1.54,<$6.0,1979,Category 5 hurricane
Alex ,$1.52,<$6.0,2010,Category 2 hurricane
Camille,$1.43,$26.4,1969,Category 5 hurricane
Betsy,$1.43,<$6.0,1965,Category 4 hurricane
Elena,$1.3,<$6.0,1985,Category 3 hurricane
Isidore,$1.28,<$6.0,2002,Category 3 hurricane
Lili,$1.16,<$6.0,2002,Category 4 hurricane
Bonnie ,$1.0,<$6.0,1998,Category 3 hurricane
Alberto ,$1.03,<$6.0,1994,Tropical storm
Emily ,$1.01,<$6.0,2005,Category 5 hurricane
"
",,,,
