Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,104,624,-15.6,862,15.9,Construction,48001,TX
Andrews County,2017,Third Quarter,37,862,24.9,1478,0.3,Construction,48003,TX
Angelina County,2017,Third Quarter,144,1420,-1.6,786,-2.8,Construction,48005,TX
Aransas County,2017,Third Quarter,63,327,-10.2,902,-9.2,Construction,48007,TX
Archer County,2017,Third Quarter,37,125,0,715,8.3,Construction,48009,TX
Armstrong County,2017,Third Quarter,10,51,4.1,954,27.5,Construction,48011,TX
Atascosa County,2017,Third Quarter,75,446,-20.5,795,-13,Construction,48013,TX
Austin County,2017,Third Quarter,116,903,5.5,1027,-7.1,Construction,48015,TX
Bailey County,2017,Third Quarter,11,38,8.6,744,8,Construction,48017,TX
Bandera County,2017,Third Quarter,70,292,3.2,804,2.6,Construction,48019,TX
Bastrop County,2017,Third Quarter,167,1083,-2.9,972,18,Construction,48021,TX
Baylor County,2017,Third Quarter,12,,,,,Construction,48023,TX
Bee County,2017,Third Quarter,28,130,-2.3,728,-4.5,Construction,48025,TX
Bell County,2017,Third Quarter,451,5053,4.8,1090,-0.5,Construction,48027,TX
Bexar County,2017,Third Quarter,2739,38691,-1.2,1071,-1.7,Construction,48029,TX
Blanco County,2017,Third Quarter,49,586,36.6,1328,16.4,Construction,48031,TX
Borden County,2017,Third Quarter,1,,,,,Construction,48033,TX
Bosque County,2017,Third Quarter,35,248,-10.5,955,7.4,Construction,48035,TX
Bowie County,2017,Third Quarter,170,1659,10.1,825,4.8,Construction,48037,TX
Brazoria County,2017,Third Quarter,500,14921,1.7,1531,7.5,Construction,48039,TX
Brazos County,2017,Third Quarter,452,5016,-2,872,-4.1,Construction,48041,TX
Brewster County,2017,Third Quarter,31,164,18.8,827,12.1,Construction,48043,TX
Briscoe County,2017,Third Quarter,6,,,,,Construction,48045,TX
Brooks County,2017,Third Quarter,7,57,-5,799,29.7,Construction,48047,TX
Brown County,2017,Third Quarter,71,597,9.5,849,12.2,Construction,48049,TX
Burleson County,2017,Third Quarter,36,434,39.1,1183,6.9,Construction,48051,TX
Burnet County,2017,Third Quarter,204,1239,-11,887,0.9,Construction,48053,TX
Caldwell County,2017,Third Quarter,74,549,38.3,882,-0.8,Construction,48055,TX
Calhoun County,2017,Third Quarter,61,2320,2.4,1103,-17.7,Construction,48057,TX
Callahan County,2017,Third Quarter,31,160,44.1,1137,14.5,Construction,48059,TX
Cameron County,2017,Third Quarter,345,2811,-7.3,716,-16.2,Construction,48061,TX
Camp County,2017,Third Quarter,36,276,10,818,0.9,Construction,48063,TX
Carson County,2017,Third Quarter,18,276,14.5,1309,-3.3,Construction,48065,TX
Cass County,2017,Third Quarter,39,243,-22.9,961,-22.1,Construction,48067,TX
