Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,171,662,-2.2,996,-18.9,Financial Activities,48001,TX
Andrews County,2017,Third Quarter,44,362,0.8,1155,4.1,Financial Activities,48003,TX
Angelina County,2017,Third Quarter,201,1114,-7.7,882,4.6,Financial Activities,48005,TX
Aransas County,2017,Third Quarter,72,226,-16.6,848,-10.5,Financial Activities,48007,TX
Archer County,2017,Third Quarter,12,,,,,Financial Activities,48009,TX
Armstrong County,2017,Third Quarter,3,,,,,Financial Activities,48011,TX
Atascosa County,2017,Third Quarter,81,894,21.1,1119,5.3,Financial Activities,48013,TX
Austin County,2017,Third Quarter,102,445,9.1,1217,6.3,Financial Activities,48015,TX
Bailey County,2017,Third Quarter,13,62,-1.6,953,9.4,Financial Activities,48017,TX
Bandera County,2017,Third Quarter,33,133,7.3,828,-1.5,Financial Activities,48019,TX
Bastrop County,2017,Third Quarter,110,526,-0.8,901,10,Financial Activities,48021,TX
Baylor County,2017,Third Quarter,12,44,-2.2,611,3.9,Financial Activities,48023,TX
Bee County,2017,Third Quarter,53,212,-3.6,898,3.7,Financial Activities,48025,TX
Bell County,2017,Third Quarter,607,5760,-0.9,743,-2.5,Financial Activities,48027,TX
Bexar County,2017,Third Quarter,4331,76872,0.9,1192,0.3,Financial Activities,48029,TX
Blanco County,2017,Third Quarter,19,71,-29.7,751,-17.5,Financial Activities,48031,TX
Borden County,2017,Third Quarter,1,,,,,Financial Activities,48033,TX
Bosque County,2017,Third Quarter,31,147,-3.3,756,9.4,Financial Activities,48035,TX
Bowie County,2017,Third Quarter,283,1688,1.3,883,-3.6,Financial Activities,48037,TX
Brazoria County,2017,Third Quarter,617,3610,0.2,1052,-0.8,Financial Activities,48039,TX
Brazos County,2017,Third Quarter,545,3559,1.8,960,2.5,Financial Activities,48041,TX
Brewster County,2017,Third Quarter,40,133,3.9,938,2,Financial Activities,48043,TX
