Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,55,1566,5.7,775,4.6,Manufacturing,48001,TX
Andrews County,2017,Third Quarter,11,267,3.9,893,2.2,Manufacturing,48003,TX
Angelina County,2017,Third Quarter,73,2866,-7,981,-1.9,Manufacturing,48005,TX
Aransas County,2017,Third Quarter,18,47,2.2,634,-6.6,Manufacturing,48007,TX
Archer County,2017,Third Quarter,4,69,-5.5,749,1.5,Manufacturing,48009,TX
Armstrong County,2017,Third Quarter,1,,,,,Manufacturing,48011,TX
Atascosa County,2017,Third Quarter,32,341,-16,1126,7.1,Manufacturing,48013,TX
Austin County,2017,Third Quarter,65,1395,2,978,0.2,Manufacturing,48015,TX
Bailey County,2017,Third Quarter,8,213,9.2,735,-4.9,Manufacturing,48017,TX
Bandera County,2017,Third Quarter,12,32,-30.4,1116,43.4,Manufacturing,48019,TX
Bastrop County,2017,Third Quarter,75,1144,4.7,899,0.7,Manufacturing,48021,TX
Baylor County,2017,Third Quarter,2,,,,,Manufacturing,48023,TX
Bee County,2017,Third Quarter,13,388,4,872,-10.1,Manufacturing,48025,TX
Bell County,2017,Third Quarter,165,6374,-3.3,948,2.9,Manufacturing,48027,TX
Bexar County,2017,Third Quarter,1020,35987,2.9,1110,0.9,Manufacturing,48029,TX
Blanco County,2017,Third Quarter,23,239,9.6,755,-0.4,Manufacturing,48031,TX
Bosque County,2017,Third Quarter,15,496,1.2,907,6,Manufacturing,48035,TX
Bowie County,2017,Third Quarter,74,1816,5.8,842,-7.2,Manufacturing,48037,TX
Brazoria County,2017,Third Quarter,263,12499,-4.1,2263,12.3,Manufacturing,48039,TX
Brazos County,2017,Third Quarter,124,5108,3.1,827,-1.5,Manufacturing,48041,TX
Brewster County,2017,Third Quarter,7,30,-6.3,999,47.6,Manufacturing,48043,TX
