Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Third Quarter,98,516,10.3,692,0,Other Services,48001,TX
Andrews County,2017,Third Quarter,35,189,-4.5,895,9,Other Services,48003,TX
Angelina County,2017,Third Quarter,141,695,-2.1,573,4.6,Other Services,48005,TX
Aransas County,2017,Third Quarter,48,146,-29.5,691,-12,Other Services,48007,TX
Archer County,2017,Third Quarter,12,50,-7.4,626,-2.6,Other Services,48009,TX
Armstrong County,2017,Third Quarter,2,,,,,Other Services,48011,TX
Atascosa County,2017,Third Quarter,63,250,2.5,569,5.6,Other Services,48013,TX
Austin County,2017,Third Quarter,61,214,0.5,722,19.5,Other Services,48015,TX
Bailey County,2017,Third Quarter,17,52,15.6,456,0.7,Other Services,48017,TX
Bandera County,2017,Third Quarter,39,182,4,542,-3.4,Other Services,48019,TX
Bastrop County,2017,Third Quarter,129,492,0.2,629,0.6,Other Services,48021,TX
Baylor County,2017,Third Quarter,14,45,,535,,Other Services,48023,TX
Bee County,2017,Third Quarter,62,269,0,706,6.3,Other Services,48025,TX
Bell County,2017,Third Quarter,549,3219,0.2,534,-4.1,Other Services,48027,TX
Bexar County,2017,Third Quarter,3725,24624,1.8,626,-2.3,Other Services,48029,TX
Blanco County,2017,Third Quarter,20,58,-10.8,673,5.3,Other Services,48031,TX
Borden County,2017,Third Quarter,4,7,-22.2,502,19,Other Services,48033,TX
Bosque County,2017,Third Quarter,22,56,0,508,6.1,Other Services,48035,TX
Bowie County,2017,Third Quarter,199,1118,-3.7,636,0.8,Other Services,48037,TX
Brazoria County,2017,Third Quarter,543,3357,-2.4,681,3.8,Other Services,48039,TX
Brazos County,2017,Third Quarter,371,2441,-0.5,631,4.8,Other Services,48041,TX
Brewster County,2017,Third Quarter,22,77,-17.2,518,18.5,Other Services,48043,TX
Briscoe County,2017,Third Quarter,3,,,,,Other Services,48045,TX
Brooks County,2017,Third Quarter,9,,,,,Other Services,48047,TX
Brown County,2017,Third Quarter,72,324,-5.8,439,2.8,Other Services,48049,TX
Burleson County,2017,Third Quarter,28,108,-0.9,639,-3.9,Other Services,48051,TX
Burnet County,2017,Third Quarter,99,388,-0.5,506,3.5,Other Services,48053,TX
Caldwell County,2017,Third Quarter,58,179,-4.3,591,-0.5,Other Services,48055,TX
Calhoun County,2017,Third Quarter,36,85,-17.5,455,-19.3,Other Services,48057,TX
Callahan County,2017,Third Quarter,21,47,6.8,515,16,Other Services,48059,TX
Cameron County,2017,Third Quarter,499,2168,-4,466,-3.9,Other Services,48061,TX
Camp County,2017,Third Quarter,18,80,56.9,637,-14.2,Other Services,48063,TX
Carson County,2017,Third Quarter,9,12,-25,341,33.2,Other Services,48065,TX
Cass County,2017,Third Quarter,40,144,-0.7,510,8.1,Other Services,48067,TX
Castro County,2017,Third Quarter,27,75,-15.7,622,13.9,Other Services,48069,TX
Chambers County,2017,Third Quarter,51,402,16.5,1263,13,Other Services,48071,TX
Cherokee County,2017,Third Quarter,45,175,3.6,552,2.2,Other Services,48073,TX
Childress County,2017,Third Quarter,13,66,-4.3,707,-5.2,Other Services,48075,TX
Clay County,2017,Third Quarter,10,43,-10.4,473,7,Other Services,48077,TX
Cochran County,2017,Third Quarter,4,11,10,464,-4.7,Other Services,48079,TX
Coke County,2017,Third Quarter,6,,,,,Other Services,48081,TX
Coleman County,2017,Third Quarter,17,40,,501,,Other Services,48083,TX
Collin County,2017,Third Quarter,1663,10816,7.8,735,-0.3,Other Services,48085,TX
Collingsworth County,2017,Third Quarter,8,29,0,453,-2.6,Other Services,48087,TX
Colorado County,2017,Third Quarter,49,114,-47.5,462,34.7,Other Services,48089,TX
Comal County,2017,Third Quarter,290,1575,2.3,574,-5.1,Other Services,48091,TX
Comanche County,2017,Third Quarter,22,65,,434,,Other Services,48093,TX
Concho County,2017,Third Quarter,7,11,,381,,Other Services,48095,TX
Cooke County,2017,Third Quarter,54,374,-8.8,702,-0.1,Other Services,48097,TX
Coryell County,2017,Third Quarter,100,599,-16.1,552,-10.7,Other Services,48099,TX
Cottle County,2017,Third Quarter,6,23,21.1,734,130.1,Other Services,48101,TX
Crane County,2017,Third Quarter,3,12,50,642,-24.5,Other Services,48103,TX
Crockett County,2017,Third Quarter,18,70,34.6,673,48.2,Other Services,48105,TX
Crosby County,2017,Third Quarter,9,17,30.8,410,13.6,Other Services,48107,TX
Culberson County,2017,Third Quarter,8,36,24.1,692,-14.1,Other Services,48109,TX
Dallam County,2017,Third Quarter,33,249,2.5,697,2.8,Other Services,48111,TX
Dallas County,2017,Third Quarter,7027,42839,1,812,-1,Other Services,48113,TX
Dawson County,2017,Third Quarter,32,109,0,559,2.9,Other Services,48115,TX
Deaf Smith County,2017,Third Quarter,40,215,0,687,2.1,Other Services,48117,TX
Delta County,2017,Third Quarter,7,11,,388,,Other Services,48119,TX
Denton County,2017,Third Quarter,1083,6071,-1.4,648,-8.6,Other Services,48121,TX
DeWitt County,2017,Third Quarter,56,170,7.6,410,-1,Other Services,48123,TX
Dickens County,2017,Third Quarter,4,12,0,365,-19.1,Other Services,48125,TX
Dimmit County,2017,Third Quarter,20,49,-12.5,544,2.8,Other Services,48127,TX
Donley County,2017,Third Quarter,7,44,29.4,446,-23.1,Other Services,48129,TX
Duval County,2017,Third Quarter,6,26,-89.1,539,-41.2,Other Services,48131,TX
Eastland County,2017,Third Quarter,37,304,49.8,711,24.7,Other Services,48133,TX
Ector County,2017,Third Quarter,322,2701,10.8,907,11.6,Other Services,48135,TX
Edwards County,2017,Third Quarter,3,6,,539,,Other Services,48137,TX
Ellis County,2017,Third Quarter,214,1234,0.4,552,-1.4,Other Services,48139,TX
El Paso County,2017,Third Quarter,1235,6619,-3.2,487,1,Other Services,48141,TX
Erath County,2017,Third Quarter,79,420,-7.7,563,3.7,Other Services,48143,TX
Falls County,2017,Third Quarter,15,62,-28.7,349,-40.6,Other Services,48145,TX
Fannin County,2017,Third Quarter,38,138,-3.5,549,9.1,Other Services,48147,TX
Fayette County,2017,Third Quarter,60,179,6.5,526,1.7,Other Services,48149,TX
Fisher County,2017,Third Quarter,7,14,40,288,-36.1,Other Services,48151,TX
Floyd County,2017,Third Quarter,17,51,-5.6,503,4.1,Other Services,48153,TX
Foard County,2017,Third Quarter,5,10,42.9,731,5.9,Other Services,48155,TX
Fort Bend County,2017,Third Quarter,1006,5756,8.7,590,-2.2,Other Services,48157,TX
Franklin County,2017,Third Quarter,24,92,,377,,Other Services,48159,TX
Freestone County,2017,Third Quarter,37,128,15.3,521,11.8,Other Services,48161,TX
Frio County,2017,Third Quarter,25,61,-10.3,484,7.8,Other Services,48163,TX
Gaines County,2017,Third Quarter,39,106,6,686,3.8,Other Services,48165,TX
Galveston County,2017,Third Quarter,545,2885,-3.8,616,4.8,Other Services,48167,TX
Garza County,2017,Third Quarter,10,44,41.9,250,-26.9,Other Services,48169,TX
Gillespie County,2017,Third Quarter,77,219,-0.5,625,3.8,Other Services,48171,TX
Glasscock County,2017,Third Quarter,3,,,,,Other Services,48173,TX
Goliad County,2017,Third Quarter,8,,,,,Other Services,48175,TX
Gonzales County,2017,Third Quarter,38,137,-2.8,451,1.8,Other Services,48177,TX
Gray County,2017,Third Quarter,49,193,-9.4,730,2.5,Other Services,48179,TX
Grayson County,2017,Third Quarter,260,889,-8.9,744,-1.7,Other Services,48181,TX
Gregg County,2017,Third Quarter,307,1800,2.6,744,1.8,Other Services,48183,TX
Grimes County,2017,Third Quarter,29,95,-9.5,625,11.6,Other Services,48185,TX
Guadalupe County,2017,Third Quarter,186,1134,10,593,0.9,Other Services,48187,TX
Hale County,2017,Third Quarter,63,376,-8.7,543,10.8,Other Services,48189,TX
Hall County,2017,Third Quarter,6,20,0,559,6.7,Other Services,48191,TX
Hamilton County,2017,Third Quarter,20,52,10.6,476,14.1,Other Services,48193,TX
Hansford County,2017,Third Quarter,14,42,-27.6,648,1.4,Other Services,48195,TX
Hardeman County,2017,Third Quarter,12,43,-2.3,326,-0.9,Other Services,48197,TX
Hardin County,2017,Third Quarter,62,416,18.9,899,20.3,Other Services,48199,TX
Harris County,2017,Third Quarter,11772,65582,-0.3,780,-2.1,Other Services,48201,TX
Harrison County,2017,Third Quarter,110,863,12.2,889,-7.6,Other Services,48203,TX
Hartley County,2017,Third Quarter,14,68,7.9,732,8.8,Other Services,48205,TX
Haskell County,2017,Third Quarter,24,70,4.5,390,11.7,Other Services,48207,TX
Hays County,2017,Third Quarter,323,2005,0,669,1.5,Other Services,48209,TX
Hemphill County,2017,Third Quarter,14,35,-7.9,535,13.6,Other Services,48211,TX
Henderson County,2017,Third Quarter,94,424,7.6,562,-1.7,Other Services,48213,TX
Hidalgo County,2017,Third Quarter,666,4025,2.5,517,0,Other Services,48215,TX
Hill County,2017,Third Quarter,49,185,13.5,467,-4.3,Other Services,48217,TX
Hockley County,2017,Third Quarter,39,799,-5.1,540,3.6,Other Services,48219,TX
Hood County,2017,Third Quarter,105,609,8.6,493,4,Other Services,48221,TX
Hopkins County,2017,Third Quarter,53,233,-11.1,543,-4.6,Other Services,48223,TX
Houston County,2017,Third Quarter,64,247,15.4,656,-1.4,Other Services,48225,TX
Howard County,2017,Third Quarter,61,367,-2.1,628,6.3,Other Services,48227,TX
Hudspeth County,2017,Third Quarter,3,,,,,Other Services,48229,TX
Hunt County,2017,Third Quarter,104,447,4.2,507,-3.6,Other Services,48231,TX
Hutchinson County,2017,Third Quarter,39,314,2.6,892,-5.9,Other Services,48233,TX
Irion County,2017,Third Quarter,6,9,12.5,333,-30,Other Services,48235,TX
Jack County,2017,Third Quarter,14,31,,522,,Other Services,48237,TX
Jackson County,2017,Third Quarter,32,104,1,463,-2.5,Other Services,48239,TX
Jasper County,2017,Third Quarter,44,185,-6.1,437,-3.1,Other Services,48241,TX
Jeff Davis County,2017,Third Quarter,6,34,41.7,417,24.5,Other Services,48243,TX
Jefferson County,2017,Third Quarter,461,3907,-10.7,816,-11.1,Other Services,48245,TX
Jim Hogg County,2017,Third Quarter,5,,,,,Other Services,48247,TX
Jim Wells County,2017,Third Quarter,59,234,-1.3,556,0.4,Other Services,48249,TX
Johnson County,2017,Third Quarter,258,1544,-3.9,776,-3.4,Other Services,48251,TX
Jones County,2017,Third Quarter,21,79,36.2,463,-7.8,Other Services,48253,TX
Karnes County,2017,Third Quarter,22,55,-8.3,548,1.3,Other Services,48255,TX
Kaufman County,2017,Third Quarter,146,902,14.5,834,-3.8,Other Services,48257,TX
Kendall County,2017,Third Quarter,110,639,22.6,609,0.8,Other Services,48259,TX
Kenedy County,2017,Third Quarter,5,11,0,428,-8.4,Other Services,48261,TX
Kent County,2017,Third Quarter,1,,,,,Other Services,48263,TX
Kerr County,2017,Third Quarter,134,631,-10.7,623,9.1,Other Services,48265,TX
Kimble County,2017,Third Quarter,12,45,18.4,392,-1.5,Other Services,48267,TX
King County,2017,Third Quarter,3,,,,,Other Services,48269,TX
Kinney County,2017,Third Quarter,7,75,0,431,5.6,Other Services,48271,TX
Kleberg County,2017,Third Quarter,49,263,8.7,606,-14.3,Other Services,48273,TX
Knox County,2017,Third Quarter,8,10,-61.5,486,52.4,Other Services,48275,TX
Lamar County,2017,Third Quarter,85,451,0.2,575,-1.9,Other Services,48277,TX
Lamb County,2017,Third Quarter,25,80,33.3,416,0.5,Other Services,48279,TX
Lampasas County,2017,Third Quarter,36,145,-20.3,493,1.4,Other Services,48281,TX
La Salle County,2017,Third Quarter,8,23,0,705,27.5,Other Services,48283,TX
Lavaca County,2017,Third Quarter,41,125,-7.4,506,-0.2,Other Services,48285,TX
Lee County,2017,Third Quarter,37,135,3.8,449,-6.1,Other Services,48287,TX
Leon County,2017,Third Quarter,25,142,6,463,0.9,Other Services,48289,TX
Liberty County,2017,Third Quarter,84,390,1.8,916,14.5,Other Services,48291,TX
