Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,173,665,0.8,1188,8.6,Financial Activities,48001,TX
Andrews County,2017,Fourth Quarter,42,355,0.9,1330,6.9,Financial Activities,48003,TX
Angelina County,2017,Fourth Quarter,207,1058,-12.3,1207,23.3,Financial Activities,48005,TX
Aransas County,2017,Fourth Quarter,72,236,-15.1,1005,1.6,Financial Activities,48007,TX
Archer County,2017,Fourth Quarter,10,30,,810,,Financial Activities,48009,TX
Armstrong County,2017,Fourth Quarter,2,,,,,Financial Activities,48011,TX
Atascosa County,2017,Fourth Quarter,81,924,14.9,1268,9.5,Financial Activities,48013,TX
Austin County,2017,Fourth Quarter,105,501,24.6,1516,8,Financial Activities,48015,TX
Bailey County,2017,Fourth Quarter,13,65,0,1019,-0.3,Financial Activities,48017,TX
Bandera County,2017,Fourth Quarter,34,138,9.5,977,9,Financial Activities,48019,TX
Bastrop County,2017,Fourth Quarter,112,566,6.8,1075,13.3,Financial Activities,48021,TX
Baylor County,2017,Fourth Quarter,12,45,0,767,11.5,Financial Activities,48023,TX
Bee County,2017,Fourth Quarter,51,216,-0.9,1048,8.6,Financial Activities,48025,TX
Bell County,2017,Fourth Quarter,618,6172,3.5,793,0.8,Financial Activities,48027,TX
Bexar County,2017,Fourth Quarter,4385,77227,-0.2,1398,5.3,Financial Activities,48029,TX
Blanco County,2017,Fourth Quarter,20,77,-23,857,-17.7,Financial Activities,48031,TX
Borden County,2017,Fourth Quarter,1,,,,,Financial Activities,48033,TX
Bosque County,2017,Fourth Quarter,31,153,2,772,0.7,Financial Activities,48035,TX
Bowie County,2017,Fourth Quarter,286,1740,5.1,999,-0.2,Financial Activities,48037,TX
Brazoria County,2017,Fourth Quarter,623,3645,0.8,1145,5.3,Financial Activities,48039,TX
Brazos County,2017,Fourth Quarter,553,3507,0.7,1067,5.9,Financial Activities,48041,TX
Brewster County,2017,Fourth Quarter,40,129,1.6,1049,11,Financial Activities,48043,TX
