Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,70,210,6.1,1371,27.8,Information,48001,TX
Andrews County,2017,Fourth Quarter,10,86,14.7,963,-6.2,Information,48003,TX
Angelina County,2017,Fourth Quarter,21,367,-3.7,822,1.7,Information,48005,TX
Aransas County,2017,Fourth Quarter,12,34,-35.8,875,17.8,Information,48007,TX
Archer County,2017,Fourth Quarter,2,,,,,Information,48009,TX
Atascosa County,2017,Fourth Quarter,6,44,-33.3,765,7.9,Information,48013,TX
Austin County,2017,Fourth Quarter,32,105,43.8,1875,1.9,Information,48015,TX
Bailey County,2017,Fourth Quarter,3,,,,,Information,48017,TX
Bandera County,2017,Fourth Quarter,7,26,-10.3,2592,69.7,Information,48019,TX
Bastrop County,2017,Fourth Quarter,13,,,,,Information,48021,TX
Baylor County,2017,Fourth Quarter,3,,,,,Information,48023,TX
Bee County,2017,Fourth Quarter,5,64,-36.6,679,-1.5,Information,48025,TX
Bell County,2017,Fourth Quarter,53,870,-3.4,948,0.9,Information,48027,TX
Bexar County,2017,Fourth Quarter,429,18988,-1.8,1285,-10,Information,48029,TX
Blanco County,2017,Fourth Quarter,4,11,,420,,Information,48031,TX
Bosque County,2017,Fourth Quarter,7,33,-60.7,409,42.5,Information,48035,TX
Bowie County,2017,Fourth Quarter,27,236,-27.2,847,23.1,Information,48037,TX
Brazoria County,2017,Fourth Quarter,40,502,0.8,912,1.1,Information,48039,TX
Brazos County,2017,Fourth Quarter,53,1214,-0.2,1168,7,Information,48041,TX
Brewster County,2017,Fourth Quarter,7,86,-7.5,1280,7,Information,48043,TX
Brooks County,2017,Fourth Quarter,4,,,,,Information,48047,TX
Brown County,2017,Fourth Quarter,14,140,-14.6,716,1.8,Information,48049,TX
Burleson County,2017,Fourth Quarter,3,8,-20,1140,-5.2,Information,48051,TX
Burnet County,2017,Fourth Quarter,19,132,-45,766,43.2,Information,48053,TX
Caldwell County,2017,Fourth Quarter,6,,,,,Information,48055,TX
Calhoun County,2017,Fourth Quarter,12,59,-13.2,644,-15.7,Information,48057,TX
Callahan County,2017,Fourth Quarter,4,9,0,1039,-46.2,Information,48059,TX
Cameron County,2017,Fourth Quarter,43,892,-8.8,828,-5.7,Information,48061,TX
Camp County,2017,Fourth Quarter,1,,,,,Information,48063,TX
Carson County,2017,Fourth Quarter,2,,,,,Information,48065,TX
Cass County,2017,Fourth Quarter,4,56,40,448,-15.5,Information,48067,TX
Castro County,2017,Fourth Quarter,3,,,,,Information,48069,TX
Chambers County,2017,Fourth Quarter,3,13,0,845,-0.5,Information,48071,TX
Cherokee County,2017,Fourth Quarter,10,49,-31.9,934,-2.5,Information,48073,TX
Childress County,2017,Fourth Quarter,7,27,-6.9,594,-7.8,Information,48075,TX
Clay County,2017,Fourth Quarter,1,,,,,Information,48077,TX
Coke County,2017,Fourth Quarter,1,,,,,Information,48081,TX
Coleman County,2017,Fourth Quarter,2,,,,,Information,48083,TX
Collin County,2017,Fourth Quarter,461,15203,2.5,2008,-10.2,Information,48085,TX
Collingsworth County,2017,Fourth Quarter,3,13,18.2,1010,-2.1,Information,48087,TX
Colorado County,2017,Fourth Quarter,3,17,-22.7,420,-11.6,Information,48089,TX
Comal County,2017,Fourth Quarter,28,600,1.7,869,-4.2,Information,48091,TX
Comanche County,2017,Fourth Quarter,4,,,,,Information,48093,TX
Cooke County,2017,Fourth Quarter,9,94,-11.3,977,8.4,Information,48097,TX
Coryell County,2017,Fourth Quarter,28,240,-5.5,1031,10.9,Information,48099,TX
Crockett County,2017,Fourth Quarter,1,,,,,Information,48105,TX
Crosby County,2017,Fourth Quarter,1,,,,,Information,48107,TX
Dallam County,2017,Fourth Quarter,5,57,21.3,999,-3.8,Information,48111,TX
Dallas County,2017,Fourth Quarter,1382,48258,-1.2,1852,1.7,Information,48113,TX
Dawson County,2017,Fourth Quarter,6,24,4.3,442,-5.4,Information,48115,TX
Deaf Smith County,2017,Fourth Quarter,6,91,12.3,786,8,Information,48117,TX
Delta County,2017,Fourth Quarter,1,,,,,Information,48119,TX
Denton County,2017,Fourth Quarter,243,3918,12.6,1893,25,Information,48121,TX
DeWitt County,2017,Fourth Quarter,5,26,-10.3,592,23.8,Information,48123,TX
Dickens County,2017,Fourth Quarter,1,,,,,Information,48125,TX
Dimmit County,2017,Fourth Quarter,2,,,,,Information,48127,TX
Donley County,2017,Fourth Quarter,2,,,,,Information,48129,TX
Duval County,2017,Fourth Quarter,1,,,,,Information,48131,TX
Eastland County,2017,Fourth Quarter,5,22,-8.3,761,6.3,Information,48133,TX
Ector County,2017,Fourth Quarter,23,661,39.2,625,-20.9,Information,48135,TX
Edwards County,2017,Fourth Quarter,3,,,,,Information,48137,TX
Ellis County,2017,Fourth Quarter,33,423,-2.5,840,12.8,Information,48139,TX
El Paso County,2017,Fourth Quarter,142,4881,1.6,940,-0.7,Information,48141,TX
Erath County,2017,Fourth Quarter,8,61,3.4,653,-17.4,Information,48143,TX
Falls County,2017,Fourth Quarter,5,,,,,Information,48145,TX
Fannin County,2017,Fourth Quarter,5,25,-10.7,595,-8.5,Information,48147,TX
Fayette County,2017,Fourth Quarter,10,115,0.9,930,6.7,Information,48149,TX
Fisher County,2017,Fourth Quarter,1,,,,,Information,48151,TX
Floyd County,2017,Fourth Quarter,1,,,,,Information,48153,TX
Fort Bend County,2017,Fourth Quarter,148,2082,11.6,1270,0.2,Information,48157,TX
Franklin County,2017,Fourth Quarter,1,,,,,Information,48159,TX
