Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,58,1621,6.9,849,18.6,Manufacturing,48001,TX
Andrews County,2017,Fourth Quarter,11,260,-6.5,1001,11.6,Manufacturing,48003,TX
Angelina County,2017,Fourth Quarter,73,2871,-3.5,1015,4.7,Manufacturing,48005,TX
Aransas County,2017,Fourth Quarter,16,47,-9.6,804,22.4,Manufacturing,48007,TX
Archer County,2017,Fourth Quarter,4,70,6.1,752,-5.2,Manufacturing,48009,TX
Armstrong County,2017,Fourth Quarter,1,,,,,Manufacturing,48011,TX
Atascosa County,2017,Fourth Quarter,33,344,-13.1,1124,22.4,Manufacturing,48013,TX
Austin County,2017,Fourth Quarter,64,1419,3.4,1165,9.3,Manufacturing,48015,TX
Bailey County,2017,Fourth Quarter,9,217,4.3,776,5.3,Manufacturing,48017,TX
Bandera County,2017,Fourth Quarter,12,36,-23.4,1149,66,Manufacturing,48019,TX
Bastrop County,2017,Fourth Quarter,77,1114,0.9,1060,7.2,Manufacturing,48021,TX
Baylor County,2017,Fourth Quarter,2,,,,,Manufacturing,48023,TX
Bee County,2017,Fourth Quarter,14,378,-1,1009,7.2,Manufacturing,48025,TX
Bell County,2017,Fourth Quarter,163,6469,-1.3,970,5.1,Manufacturing,48027,TX
Bexar County,2017,Fourth Quarter,1035,36612,4.6,1217,4.7,Manufacturing,48029,TX
Blanco County,2017,Fourth Quarter,24,241,10.6,861,8,Manufacturing,48031,TX
Bosque County,2017,Fourth Quarter,14,490,-1,964,5.7,Manufacturing,48035,TX
Bowie County,2017,Fourth Quarter,74,1837,5.4,895,-3.2,Manufacturing,48037,TX
Brazoria County,2017,Fourth Quarter,267,12559,-3.1,2350,15.5,Manufacturing,48039,TX
Brazos County,2017,Fourth Quarter,124,5006,2.4,913,8.8,Manufacturing,48041,TX
Brewster County,2017,Fourth Quarter,8,29,3.6,1002,49.3,Manufacturing,48043,TX
Briscoe County,2017,Fourth Quarter,2,,,,,Manufacturing,48045,TX
Brown County,2017,Fourth Quarter,42,3093,5.1,1217,8.7,Manufacturing,48049,TX
Burleson County,2017,Fourth Quarter,15,363,38,897,-7.9,Manufacturing,48051,TX
Burnet County,2017,Fourth Quarter,75,852,-1.5,1207,12,Manufacturing,48053,TX
Caldwell County,2017,Fourth Quarter,25,623,30.1,763,2.3,Manufacturing,48055,TX
Calhoun County,2017,Fourth Quarter,24,3129,3.4,2002,2.8,Manufacturing,48057,TX
Callahan County,2017,Fourth Quarter,13,140,12,761,-1.6,Manufacturing,48059,TX
Cameron County,2017,Fourth Quarter,221,5252,1.1,1067,6.5,Manufacturing,48061,TX
Camp County,2017,Fourth Quarter,7,,,,,Manufacturing,48063,TX
Carson County,2017,Fourth Quarter,4,,,,,Manufacturing,48065,TX
Cass County,2017,Fourth Quarter,29,1260,-0.2,1228,-4.1,Manufacturing,48067,TX
Castro County,2017,Fourth Quarter,5,38,5.6,1053,3.2,Manufacturing,48069,TX
Chambers County,2017,Fourth Quarter,39,2307,2.8,1950,-0.4,Manufacturing,48071,TX
Cherokee County,2017,Fourth Quarter,63,2318,3.5,758,7.1,Manufacturing,48073,TX
Childress County,2017,Fourth Quarter,2,,,,,Manufacturing,48075,TX
Clay County,2017,Fourth Quarter,4,65,8.3,1375,35.2,Manufacturing,48077,TX
Cochran County,2017,Fourth Quarter,1,,,,,Manufacturing,48079,TX
Coke County,2017,Fourth Quarter,2,,,,,Manufacturing,48081,TX
Coleman County,2017,Fourth Quarter,10,112,24.4,619,2,Manufacturing,48083,TX
Collin County,2017,Fourth Quarter,598,24705,3.6,1993,3.2,Manufacturing,48085,TX
