Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,66,659,-0.8,1090,-6.3,Natural Resources and Mining,48001,TX
Andrews County,2017,Fourth Quarter,103,1772,18.1,1636,11,Natural Resources and Mining,48003,TX
Angelina County,2017,Fourth Quarter,63,629,0.6,1867,18.2,Natural Resources and Mining,48005,TX
Aransas County,2017,Fourth Quarter,10,224,-16.7,872,-2.9,Natural Resources and Mining,48007,TX
Archer County,2017,Fourth Quarter,57,332,7.8,991,15.9,Natural Resources and Mining,48009,TX
Armstrong County,2017,Fourth Quarter,8,,,,,Natural Resources and Mining,48011,TX
Atascosa County,2017,Fourth Quarter,103,2172,30.5,1434,8.3,Natural Resources and Mining,48013,TX
Austin County,2017,Fourth Quarter,51,213,4.4,894,3.7,Natural Resources and Mining,48015,TX
Bailey County,2017,Fourth Quarter,79,692,2.7,763,4,Natural Resources and Mining,48017,TX
Bandera County,2017,Fourth Quarter,43,141,7.6,710,-0.8,Natural Resources and Mining,48019,TX
Bastrop County,2017,Fourth Quarter,52,477,6.2,938,-9.4,Natural Resources and Mining,48021,TX
Baylor County,2017,Fourth Quarter,28,78,23.8,638,-2,Natural Resources and Mining,48023,TX
Bee County,2017,Fourth Quarter,61,344,-36.3,1080,-11.9,Natural Resources and Mining,48025,TX
Bell County,2017,Fourth Quarter,51,405,-1,1340,41.9,Natural Resources and Mining,48027,TX
Bexar County,2017,Fourth Quarter,350,5455,15.2,1982,18.6,Natural Resources and Mining,48029,TX
Blanco County,2017,Fourth Quarter,28,181,5.2,866,16.9,Natural Resources and Mining,48031,TX
Borden County,2017,Fourth Quarter,14,,,,,Natural Resources and Mining,48033,TX
Bosque County,2017,Fourth Quarter,40,134,0,758,7.4,Natural Resources and Mining,48035,TX
Bowie County,2017,Fourth Quarter,34,123,-32.8,641,-27.7,Natural Resources and Mining,48037,TX
Brazoria County,2017,Fourth Quarter,108,1754,0,1864,-3.7,Natural Resources and Mining,48039,TX
Brazos County,2017,Fourth Quarter,136,1904,13.1,1266,17.3,Natural Resources and Mining,48041,TX
Brewster County,2017,Fourth Quarter,21,76,20.6,678,1.6,Natural Resources and Mining,48043,TX
Briscoe County,2017,Fourth Quarter,27,142,0.7,699,11,Natural Resources and Mining,48045,TX
Brooks County,2017,Fourth Quarter,23,298,24.2,1205,23,Natural Resources and Mining,48047,TX
Brown County,2017,Fourth Quarter,31,156,-17,1146,33.1,Natural Resources and Mining,48049,TX
Burleson County,2017,Fourth Quarter,63,454,37.2,1234,26.7,Natural Resources and Mining,48051,TX
Burnet County,2017,Fourth Quarter,36,121,0.8,685,0.1,Natural Resources and Mining,48053,TX
Caldwell County,2017,Fourth Quarter,52,442,24.2,767,0.5,Natural Resources and Mining,48055,TX
Calhoun County,2017,Fourth Quarter,32,204,9.1,1252,-4.8,Natural Resources and Mining,48057,TX
Callahan County,2017,Fourth Quarter,18,86,11.7,802,-1.5,Natural Resources and Mining,48059,TX
Cameron County,2017,Fourth Quarter,168,623,-11.4,725,5.2,Natural Resources and Mining,48061,TX
Camp County,2017,Fourth Quarter,11,,,,,Natural Resources and Mining,48063,TX
Carson County,2017,Fourth Quarter,37,,,,,Natural Resources and Mining,48065,TX
Cass County,2017,Fourth Quarter,32,314,1.9,1011,2.5,Natural Resources and Mining,48067,TX
Castro County,2017,Fourth Quarter,113,978,2.8,755,1.5,Natural Resources and Mining,48069,TX
Chambers County,2017,Fourth Quarter,52,299,-58.8,1133,-30.1,Natural Resources and Mining,48071,TX
Cherokee County,2017,Fourth Quarter,49,344,6.8,622,4.4,Natural Resources and Mining,48073,TX
Childress County,2017,Fourth Quarter,31,100,8.7,932,6.3,Natural Resources and Mining,48075,TX
Clay County,2017,Fourth Quarter,34,72,9.1,556,3,Natural Resources and Mining,48077,TX
Cochran County,2017,Fourth Quarter,47,243,-9,886,13.4,Natural Resources and Mining,48079,TX
Coke County,2017,Fourth Quarter,10,,,,,Natural Resources and Mining,48081,TX
Coleman County,2017,Fourth Quarter,23,51,-3.8,757,12,Natural Resources and Mining,48083,TX
Collin County,2017,Fourth Quarter,146,1435,44.9,2393,-20.1,Natural Resources and Mining,48085,TX
Collingsworth County,2017,Fourth Quarter,20,98,-15.5,813,6.4,Natural Resources and Mining,48087,TX
Colorado County,2017,Fourth Quarter,90,473,9.7,985,17.5,Natural Resources and Mining,48089,TX
Comal County,2017,Fourth Quarter,47,620,15.9,1244,-0.8,Natural Resources and Mining,48091,TX
Comanche County,2017,Fourth Quarter,65,737,1.4,621,6,Natural Resources and Mining,48093,TX
Concho County,2017,Fourth Quarter,13,46,15,549,-3.7,Natural Resources and Mining,48095,TX
Cooke County,2017,Fourth Quarter,97,1165,18.8,1363,8.8,Natural Resources and Mining,48097,TX
Coryell County,2017,Fourth Quarter,25,133,-14.2,1158,-30.1,Natural Resources and Mining,48099,TX
Cottle County,2017,Fourth Quarter,6,,,,,Natural Resources and Mining,48101,TX
Crane County,2017,Fourth Quarter,14,231,-38.1,1586,-5.2,Natural Resources and Mining,48103,TX
Crockett County,2017,Fourth Quarter,49,272,12.9,1333,4.9,Natural Resources and Mining,48105,TX
Crosby County,2017,Fourth Quarter,90,408,-1.2,789,4.2,Natural Resources and Mining,48107,TX
Culberson County,2017,Fourth Quarter,11,102,-12.1,895,37.7,Natural Resources and Mining,48109,TX
Dallam County,2017,Fourth Quarter,64,1254,-4.8,733,-3.2,Natural Resources and Mining,48111,TX
Dallas County,2017,Fourth Quarter,537,9332,10.6,3185,-21.3,Natural Resources and Mining,48113,TX
Dawson County,2017,Fourth Quarter,205,1059,6.5,902,11.2,Natural Resources and Mining,48115,TX
Deaf Smith County,2017,Fourth Quarter,93,1477,2.6,790,-1.4,Natural Resources and Mining,48117,TX
Delta County,2017,Fourth Quarter,10,,,,,Natural Resources and Mining,48119,TX
Denton County,2017,Fourth Quarter,135,702,-9.1,1455,14.6,Natural Resources and Mining,48121,TX
DeWitt County,2017,Fourth Quarter,67,649,28,1504,12.2,Natural Resources and Mining,48123,TX
Dickens County,2017,Fourth Quarter,12,,,,,Natural Resources and Mining,48125,TX
Dimmit County,2017,Fourth Quarter,69,1676,47.5,1481,14.8,Natural Resources and Mining,48127,TX
Donley County,2017,Fourth Quarter,20,85,-22,752,11.4,Natural Resources and Mining,48129,TX
Duval County,2017,Fourth Quarter,33,470,10.6,1095,12.5,Natural Resources and Mining,48131,TX
Eastland County,2017,Fourth Quarter,56,1132,77.4,1688,16.1,Natural Resources and Mining,48133,TX
Ector County,2017,Fourth Quarter,356,11046,36.7,1730,12.9,Natural Resources and Mining,48135,TX
Edwards County,2017,Fourth Quarter,21,44,10,530,-0.2,Natural Resources and Mining,48137,TX
Ellis County,2017,Fourth Quarter,47,202,10.4,1010,2.3,Natural Resources and Mining,48139,TX
El Paso County,2017,Fourth Quarter,96,972,-9,715,10.9,Natural Resources and Mining,48141,TX
Erath County,2017,Fourth Quarter,116,1147,4.2,772,14.7,Natural Resources and Mining,48143,TX
Falls County,2017,Fourth Quarter,23,171,-1.7,816,3.8,Natural Resources and Mining,48145,TX
Fannin County,2017,Fourth Quarter,28,195,34.5,794,7.3,Natural Resources and Mining,48147,TX
Fayette County,2017,Fourth Quarter,70,908,29,950,4.3,Natural Resources and Mining,48149,TX
Fisher County,2017,Fourth Quarter,40,175,-39.4,722,24.1,Natural Resources and Mining,48151,TX
Floyd County,2017,Fourth Quarter,114,556,-3.1,792,-0.5,Natural Resources and Mining,48153,TX
Foard County,2017,Fourth Quarter,12,25,-3.8,704,-12.4,Natural Resources and Mining,48155,TX
Fort Bend County,2017,Fourth Quarter,192,3637,10.3,2172,-3.1,Natural Resources and Mining,48157,TX
Franklin County,2017,Fourth Quarter,21,,,,,Natural Resources and Mining,48159,TX
Freestone County,2017,Fourth Quarter,42,701,0.9,1414,-6.3,Natural Resources and Mining,48161,TX
Frio County,2017,Fourth Quarter,85,1698,51.2,1230,1.7,Natural Resources and Mining,48163,TX
Gaines County,2017,Fourth Quarter,198,1968,-1.2,1310,2.1,Natural Resources and Mining,48165,TX
Galveston County,2017,Fourth Quarter,69,1030,22.3,1669,-13.9,Natural Resources and Mining,48167,TX
Garza County,2017,Fourth Quarter,55,357,2.9,981,5.7,Natural Resources and Mining,48169,TX
Gillespie County,2017,Fourth Quarter,41,135,1.5,907,-5.3,Natural Resources and Mining,48171,TX
Glasscock County,2017,Fourth Quarter,82,342,9.3,1042,22,Natural Resources and Mining,48173,TX
