Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,98,522,7,760,-10.4,Other Services,48001,TX
Andrews County,2017,Fourth Quarter,36,188,-4.1,994,6.2,Other Services,48003,TX
Angelina County,2017,Fourth Quarter,143,685,-6,683,25.3,Other Services,48005,TX
Aransas County,2017,Fourth Quarter,47,156,-17,807,16.5,Other Services,48007,TX
Archer County,2017,Fourth Quarter,12,65,20.4,618,-7.8,Other Services,48009,TX
Armstrong County,2017,Fourth Quarter,2,,,,,Other Services,48011,TX
Atascosa County,2017,Fourth Quarter,60,266,12.7,597,11,Other Services,48013,TX
Austin County,2017,Fourth Quarter,63,226,16.5,749,6.8,Other Services,48015,TX
Bailey County,2017,Fourth Quarter,17,49,8.9,483,4.3,Other Services,48017,TX
Bandera County,2017,Fourth Quarter,40,180,4,599,3.3,Other Services,48019,TX
Bastrop County,2017,Fourth Quarter,130,513,3.4,652,2.7,Other Services,48021,TX
Baylor County,2017,Fourth Quarter,14,45,9.8,555,12.1,Other Services,48023,TX
Bee County,2017,Fourth Quarter,61,263,0,720,14.8,Other Services,48025,TX
Bell County,2017,Fourth Quarter,555,3142,0.1,561,2,Other Services,48027,TX
Bexar County,2017,Fourth Quarter,3694,24474,1.7,644,1.3,Other Services,48029,TX
Blanco County,2017,Fourth Quarter,19,58,-6.5,643,-1.1,Other Services,48031,TX
Borden County,2017,Fourth Quarter,4,7,-36.4,717,48.8,Other Services,48033,TX
Bosque County,2017,Fourth Quarter,22,58,3.6,556,16.1,Other Services,48035,TX
Bowie County,2017,Fourth Quarter,196,1118,-2.6,691,1.2,Other Services,48037,TX
Brazoria County,2017,Fourth Quarter,538,3478,2.2,746,8.9,Other Services,48039,TX
Brazos County,2017,Fourth Quarter,368,2250,-9,642,9.6,Other Services,48041,TX
Brewster County,2017,Fourth Quarter,22,82,-14.6,548,18.4,Other Services,48043,TX
Briscoe County,2017,Fourth Quarter,3,,,,,Other Services,48045,TX
Brooks County,2017,Fourth Quarter,10,54,-12.9,897,15.3,Other Services,48047,TX
Brown County,2017,Fourth Quarter,72,309,-7.2,451,8.9,Other Services,48049,TX
Burleson County,2017,Fourth Quarter,27,101,-3.8,726,15.2,Other Services,48051,TX
Burnet County,2017,Fourth Quarter,97,388,1.3,546,5.8,Other Services,48053,TX
Caldwell County,2017,Fourth Quarter,58,181,5.8,650,6.2,Other Services,48055,TX
Calhoun County,2017,Fourth Quarter,38,99,-10,507,-3.8,Other Services,48057,TX
Callahan County,2017,Fourth Quarter,21,52,8.3,622,37.9,Other Services,48059,TX
Cameron County,2017,Fourth Quarter,500,2151,-8.3,533,9.9,Other Services,48061,TX
Camp County,2017,Fourth Quarter,18,79,36.2,596,2.9,Other Services,48063,TX
Carson County,2017,Fourth Quarter,9,15,-6.3,498,81.1,Other Services,48065,TX
Cass County,2017,Fourth Quarter,40,165,9.3,495,17.3,Other Services,48067,TX
Castro County,2017,Fourth Quarter,26,68,-20,636,7.4,Other Services,48069,TX
Chambers County,2017,Fourth Quarter,44,470,32.4,1551,16.4,Other Services,48071,TX
Cherokee County,2017,Fourth Quarter,46,173,-4.4,586,8.7,Other Services,48073,TX
Childress County,2017,Fourth Quarter,13,60,-4.8,854,16.7,Other Services,48075,TX
Clay County,2017,Fourth Quarter,10,33,-35.3,480,8.6,Other Services,48077,TX
Cochran County,2017,Fourth Quarter,5,12,50,503,-11.6,Other Services,48079,TX
Coke County,2017,Fourth Quarter,7,,,,,Other Services,48081,TX
Coleman County,2017,Fourth Quarter,16,34,-17.1,607,27,Other Services,48083,TX
Collin County,2017,Fourth Quarter,1665,11008,5.1,756,6.3,Other Services,48085,TX
Collingsworth County,2017,Fourth Quarter,9,31,10.7,443,-12.5,Other Services,48087,TX
Colorado County,2017,Fourth Quarter,50,119,-54.1,490,18.1,Other Services,48089,TX
Comal County,2017,Fourth Quarter,286,1527,-20.8,588,11.4,Other Services,48091,TX
Comanche County,2017,Fourth Quarter,22,69,-6.8,439,1.9,Other Services,48093,TX
Concho County,2017,Fourth Quarter,7,,,,,Other Services,48095,TX
Cooke County,2017,Fourth Quarter,55,346,-11.5,711,2.6,Other Services,48097,TX
Coryell County,2017,Fourth Quarter,101,567,-18.4,573,-0.5,Other Services,48099,TX
Cottle County,2017,Fourth Quarter,6,20,25,812,100,Other Services,48101,TX
Crane County,2017,Fourth Quarter,3,11,,1279,,Other Services,48103,TX
Crockett County,2017,Fourth Quarter,17,62,6.9,695,28.5,Other Services,48105,TX
Crosby County,2017,Fourth Quarter,9,16,23.1,481,39,Other Services,48107,TX
Culberson County,2017,Fourth Quarter,9,36,16.1,752,-6.5,Other Services,48109,TX
Dallam County,2017,Fourth Quarter,33,243,-3.6,775,5.2,Other Services,48111,TX
Dallas County,2017,Fourth Quarter,7050,43215,1.5,875,8.2,Other Services,48113,TX
Dawson County,2017,Fourth Quarter,32,111,2.8,591,-1.3,Other Services,48115,TX
Deaf Smith County,2017,Fourth Quarter,41,212,2.4,880,17,Other Services,48117,TX
Delta County,2017,Fourth Quarter,7,,,,,Other Services,48119,TX
Denton County,2017,Fourth Quarter,1075,6022,-1.4,713,1.1,Other Services,48121,TX
DeWitt County,2017,Fourth Quarter,56,166,2.5,434,9,Other Services,48123,TX
Dickens County,2017,Fourth Quarter,4,,,,,Other Services,48125,TX
Dimmit County,2017,Fourth Quarter,19,50,,524,,Other Services,48127,TX
Donley County,2017,Fourth Quarter,7,40,17.6,562,-5.4,Other Services,48129,TX
Duval County,2017,Fourth Quarter,6,25,-88.3,599,-20.9,Other Services,48131,TX
Eastland County,2017,Fourth Quarter,37,361,57,646,11.8,Other Services,48133,TX
Ector County,2017,Fourth Quarter,321,2707,12.5,1014,14.6,Other Services,48135,TX
Edwards County,2017,Fourth Quarter,3,,,,,Other Services,48137,TX
Ellis County,2017,Fourth Quarter,211,1207,-1.5,634,6.6,Other Services,48139,TX
El Paso County,2017,Fourth Quarter,1230,6661,-1,501,1.2,Other Services,48141,TX
Erath County,2017,Fourth Quarter,78,409,-10.7,611,10.7,Other Services,48143,TX
Falls County,2017,Fourth Quarter,14,53,-38.4,393,-31.8,Other Services,48145,TX
Fannin County,2017,Fourth Quarter,34,140,-2.8,587,15.3,Other Services,48147,TX
Fayette County,2017,Fourth Quarter,61,182,7.7,637,0.8,Other Services,48149,TX
Fisher County,2017,Fourth Quarter,7,12,,323,,Other Services,48151,TX
Floyd County,2017,Fourth Quarter,16,50,13.6,662,18.2,Other Services,48153,TX
Foard County,2017,Fourth Quarter,5,11,37.5,798,20.5,Other Services,48155,TX
Fort Bend County,2017,Fourth Quarter,1014,5756,8.6,610,0,Other Services,48157,TX
Franklin County,2017,Fourth Quarter,24,96,,388,,Other Services,48159,TX
Freestone County,2017,Fourth Quarter,35,127,15.5,542,10.6,Other Services,48161,TX
Frio County,2017,Fourth Quarter,26,61,-15.3,468,-2.7,Other Services,48163,TX
Gaines County,2017,Fourth Quarter,37,96,-5,713,10.5,Other Services,48165,TX
Galveston County,2017,Fourth Quarter,549,2941,1.8,691,9.9,Other Services,48167,TX
Garza County,2017,Fourth Quarter,10,42,44.8,341,-10.5,Other Services,48169,TX
Gillespie County,2017,Fourth Quarter,75,217,1.9,677,3.5,Other Services,48171,TX
Glasscock County,2017,Fourth Quarter,2,,,,,Other Services,48173,TX
Goliad County,2017,Fourth Quarter,7,,,,,Other Services,48175,TX
Gonzales County,2017,Fourth Quarter,39,141,2.2,453,-2.2,Other Services,48177,TX
Gray County,2017,Fourth Quarter,48,184,-7.5,786,7.4,Other Services,48179,TX
Grayson County,2017,Fourth Quarter,256,807,-17.1,713,8.9,Other Services,48181,TX
Gregg County,2017,Fourth Quarter,311,1769,4.1,774,8.9,Other Services,48183,TX
Grimes County,2017,Fourth Quarter,29,89,-15.2,742,24.5,Other Services,48185,TX
Guadalupe County,2017,Fourth Quarter,188,1145,9.3,636,8.7,Other Services,48187,TX
Hale County,2017,Fourth Quarter,62,377,2.4,501,-1,Other Services,48189,TX
Hall County,2017,Fourth Quarter,6,19,72.7,585,-2.7,Other Services,48191,TX
Hamilton County,2017,Fourth Quarter,20,50,-2,502,13.8,Other Services,48193,TX
Hansford County,2017,Fourth Quarter,14,42,-14.3,724,10,Other Services,48195,TX
Hardeman County,2017,Fourth Quarter,12,49,2.1,384,4.1,Other Services,48197,TX
Hardin County,2017,Fourth Quarter,59,351,-6.9,1335,17,Other Services,48199,TX
Harris County,2017,Fourth Quarter,11784,66163,2.1,838,1.9,Other Services,48201,TX
Harrison County,2017,Fourth Quarter,110,803,7.1,873,10.6,Other Services,48203,TX
Hartley County,2017,Fourth Quarter,12,71,14.5,802,15.4,Other Services,48205,TX
Haskell County,2017,Fourth Quarter,23,68,15.3,375,1.9,Other Services,48207,TX
Hays County,2017,Fourth Quarter,316,1979,0.3,725,7.6,Other Services,48209,TX
Hemphill County,2017,Fourth Quarter,14,34,-8.1,570,6.3,Other Services,48211,TX
Henderson County,2017,Fourth Quarter,93,413,4.8,580,-6.1,Other Services,48213,TX
Hidalgo County,2017,Fourth Quarter,671,4091,5.3,541,2.9,Other Services,48215,TX
Hill County,2017,Fourth Quarter,52,199,19.9,573,14.4,Other Services,48217,TX
Hockley County,2017,Fourth Quarter,39,841,-0.6,565,0.9,Other Services,48219,TX
Hood County,2017,Fourth Quarter,103,600,13.6,503,6.3,Other Services,48221,TX
Hopkins County,2017,Fourth Quarter,52,233,-6.8,557,3,Other Services,48223,TX
Houston County,2017,Fourth Quarter,66,251,17.8,737,-7.6,Other Services,48225,TX
Howard County,2017,Fourth Quarter,59,383,5.5,689,-1.4,Other Services,48227,TX
Hudspeth County,2017,Fourth Quarter,3,,,,,Other Services,48229,TX
Hunt County,2017,Fourth Quarter,100,416,-4.4,596,14,Other Services,48231,TX
Hutchinson County,2017,Fourth Quarter,36,312,0.6,937,-1.5,Other Services,48233,TX
Irion County,2017,Fourth Quarter,6,8,0,354,-5.9,Other Services,48235,TX
