,Unnamed: 0,Area Name,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS
0,0,Anderson County,Fourth Quarter,106.0,607.0,-12.8,939.0,27.2,Construction,48001.0
1,1,Andrews County,Fourth Quarter,37.0,821.0,9.8,1575.0,12.7,Construction,48003.0
2,2,Angelina County,Fourth Quarter,147.0,1369.0,-8.7,856.0,6.3,Construction,48005.0
3,3,Aransas County,Fourth Quarter,67.0,369.0,-3.1,979.0,-5.9,Construction,48007.0
4,4,Archer County,Fourth Quarter,36.0,119.0,0.8,670.0,2.6,Construction,48009.0
5,5,Armstrong County,Fourth Quarter,10.0,58.0,23.4,1024.0,26.0,Construction,48011.0
6,6,Atascosa County,Fourth Quarter,71.0,423.0,-19.9,926.0,9.2,Construction,48013.0
7,7,Austin County,Fourth Quarter,116.0,882.0,2.0,1209.0,5.1,Construction,48015.0
8,8,Bailey County,Fourth Quarter,10.0,36.0,-23.4,904.0,20.4,Construction,48017.0
9,9,Bandera County,Fourth Quarter,68.0,291.0,-4.3,779.0,3.5,Construction,48019.0
10,10,Bastrop County,Fourth Quarter,172.0,1198.0,5.6,1072.0,14.0,Construction,48021.0
11,11,Baylor County,Fourth Quarter,12.0,,,,,Construction,48023.0
12,12,Bee County,Fourth Quarter,27.0,111.0,-15.9,836.0,-19.8,Construction,48025.0
13,13,Bell County,Fourth Quarter,457.0,5053.0,4.1,1149.0,0.2,Construction,48027.0
14,14,Bexar County,Fourth Quarter,2759.0,38810.0,-0.1,1210.0,2.1,Construction,48029.0
15,15,Blanco County,Fourth Quarter,52.0,562.0,28.9,1235.0,9.4,Construction,48031.0
16,16,Borden County,Fourth Quarter,1.0,,,,,Construction,48033.0
17,17,Bosque County,Fourth Quarter,32.0,227.0,-13.7,995.0,17.1,Construction,48035.0
18,18,Bowie County,Fourth Quarter,171.0,1604.0,12.4,991.0,9.6,Construction,48037.0
19,19,Brazoria County,Fourth Quarter,508.0,15107.0,5.6,1721.0,16.6,Construction,48039.0
20,20,Brazos County,Fourth Quarter,448.0,4980.0,0.0,1011.0,2.8,Construction,48041.0
