,Area Name,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS
0,Anderson County,Second Quarter,109.0,1666.0,3.1,275.0,1.1,Leisure and Hospitality,48001.0
1,Andrews County,Second Quarter,37.0,531.0,17.5,439.0,-0.9,Leisure and Hospitality,48003.0
2,Angelina County,Second Quarter,157.0,3549.0,7.6,302.0,-0.3,Leisure and Hospitality,48005.0
3,Aransas County,Second Quarter,124.0,1660.0,6.8,335.0,-0.9,Leisure and Hospitality,48007.0
4,Archer County,Second Quarter,8.0,60.0,50.0,222.0,-21.3,Leisure and Hospitality,48009.0
5,Armstrong County,Second Quarter,3.0,25.0,,291.0,,Leisure and Hospitality,48011.0
6,Atascosa County,Second Quarter,90.0,1273.0,11.8,290.0,7.4,Leisure and Hospitality,48013.0
7,Austin County,Second Quarter,73.0,873.0,0.9,331.0,0.9,Leisure and Hospitality,48015.0
8,Bailey County,Second Quarter,16.0,239.0,8.6,265.0,3.1,Leisure and Hospitality,48017.0
9,Bandera County,Second Quarter,57.0,674.0,15.2,347.0,2.7,Leisure and Hospitality,48019.0
10,Bastrop County,Second Quarter,143.0,2911.0,2.5,395.0,7.0,Leisure and Hospitality,48021.0
11,Baylor County,Second Quarter,12.0,93.0,5.7,244.0,0.4,Leisure and Hospitality,48023.0
12,Bee County,Second Quarter,64.0,855.0,-3.8,303.0,4.5,Leisure and Hospitality,48025.0
13,Bell County,Second Quarter,663.0,13042.0,4.0,307.0,4.1,Leisure and Hospitality,48027.0
14,Bexar County,Second Quarter,4262.0,117483.0,2.3,415.0,4.3,Leisure and Hospitality,48029.0
15,Blanco County,Second Quarter,41.0,390.0,20.0,355.0,8.6,Leisure and Hospitality,48031.0
16,Bosque County,Second Quarter,35.0,298.0,31.3,269.0,5.9,Leisure and Hospitality,48035.0
17,Bowie County,Second Quarter,215.0,5288.0,1.0,304.0,4.8,Leisure and Hospitality,48037.0
18,Brazoria County,Second Quarter,595.0,12626.0,4.2,338.0,2.4,Leisure and Hospitality,48039.0
19,Brazos County,Second Quarter,507.0,12945.0,-5.5,357.0,11.2,Leisure and Hospitality,48041.0
20,Brewster County,Second Quarter,57.0,879.0,0.3,402.0,1.0,Leisure and Hospitality,48043.0
21,Briscoe County,Second Quarter,5.0,11.0,57.1,182.0,-30.3,Leisure and Hospitality,48045.0
22,Brooks County,Second Quarter,17.0,275.0,6.2,357.0,-2.7,Leisure and Hospitality,48047.0
23,Brown County,Second Quarter,82.0,1393.0,3.6,271.0,-1.8,Leisure and Hospitality,48049.0
24,Burleson County,Second Quarter,39.0,362.0,10.4,318.0,4.6,Leisure and Hospitality,48051.0
25,Burnet County,Second Quarter,130.0,2172.0,2.4,403.0,3.3,Leisure and Hospitality,48053.0
26,Caldwell County,Second Quarter,74.0,937.0,-6.5,352.0,4.5,Leisure and Hospitality,48055.0
27,Calhoun County,Second Quarter,79.0,963.0,7.2,293.0,-0.3,Leisure and Hospitality,48057.0
28,Callahan County,Second Quarter,19.0,253.0,3.7,252.0,0.4,Leisure and Hospitality,48059.0
29,Cameron County,Second Quarter,749.0,16646.0,6.8,293.0,0.3,Leisure and Hospitality,48061.0
30,Camp County,Second Quarter,23.0,275.0,2.2,259.0,11.2,Leisure and Hospitality,48063.0
31,Carson County,Second Quarter,15.0,156.0,45.8,249.0,-2.7,Leisure and Hospitality,48065.0
32,Cass County,Second Quarter,52.0,664.0,-2.9,232.0,1.8,Leisure and Hospitality,48067.0
33,Castro County,Second Quarter,15.0,86.0,-6.5,220.0,0.5,Leisure and Hospitality,48069.0
34,Chambers County,Second Quarter,86.0,1179.0,-5.4,292.0,5.4,Leisure and Hospitality,48071.0
35,Cherokee County,Second Quarter,64.0,1103.0,-2.6,296.0,10.4,Leisure and Hospitality,48073.0
36,Childress County,Second Quarter,23.0,327.0,-1.2,281.0,0.4,Leisure and Hospitality,48075.0
37,Clay County,Second Quarter,4.0,54.0,12.5,201.0,-13.7,Leisure and Hospitality,48077.0
38,Cochran County,Second Quarter,3.0,11.0,57.1,131.0,-10.3,Leisure and Hospitality,48079.0
39,Coke County,Second Quarter,6.0,21.0,31.3,245.0,-7.5,Leisure and Hospitality,48081.0
40,Coleman County,Second Quarter,24.0,252.0,24.8,251.0,4.1,Leisure and Hospitality,48083.0
41,Collin County,Second Quarter,2174.0,48233.0,5.6,426.0,4.9,Leisure and Hospitality,48085.0
42,Collingsworth County,Second Quarter,12.0,63.0,-8.7,219.0,6.3,Leisure and Hospitality,48087.0
43,Colorado County,Second Quarter,56.0,888.0,-2.5,345.0,9.5,Leisure and Hospitality,48089.0
44,Comal County,Second Quarter,403.0,11513.0,13.1,317.0,1.9,Leisure and Hospitality,48091.0
45,Comanche County,Second Quarter,22.0,208.0,7.2,255.0,1.6,Leisure and Hospitality,48093.0
46,Concho County,Second Quarter,5.0,36.0,-32.1,647.0,54.4,Leisure and Hospitality,48095.0
47,Cooke County,Second Quarter,78.0,1598.0,4.7,311.0,1.0,Leisure and Hospitality,48097.0
48,Coryell County,Second Quarter,99.0,1860.0,3.2,288.0,7.9,Leisure and Hospitality,48099.0
49,Cottle County,Second Quarter,3.0,21.0,-41.7,163.0,-45.5,Leisure and Hospitality,48101.0
50,Crane County,Second Quarter,6.0,65.0,30.0,205.0,-5.5,Leisure and Hospitality,48103.0
51,Crockett County,Second Quarter,25.0,235.0,2.6,285.0,-1.7,Leisure and Hospitality,48105.0
52,Crosby County,Second Quarter,7.0,43.0,7.5,282.0,-5.4,Leisure and Hospitality,48107.0
53,Culberson County,Second Quarter,14.0,186.0,-8.4,301.0,-6.2,Leisure and Hospitality,48109.0
54,Dallam County,Second Quarter,34.0,289.0,5.5,296.0,-0.3,Leisure and Hospitality,48111.0
55,Dallas County,Second Quarter,6793.0,164213.0,1.0,489.0,1.2,Leisure and Hospitality,48113.0
