Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,106,607,-12.8,939,27.2,Construction,48001,TX
Andrews County,2017,Fourth Quarter,37,821,9.8,1575,12.7,Construction,48003,TX
Angelina County,2017,Fourth Quarter,147,1369,-8.7,856,6.3,Construction,48005,TX
Aransas County,2017,Fourth Quarter,67,369,-3.1,979,-5.9,Construction,48007,TX
Archer County,2017,Fourth Quarter,36,119,0.8,670,2.6,Construction,48009,TX
Armstrong County,2017,Fourth Quarter,10,58,23.4,1024,26,Construction,48011,TX
Atascosa County,2017,Fourth Quarter,71,423,-19.9,926,9.2,Construction,48013,TX
Austin County,2017,Fourth Quarter,116,882,2,1209,5.1,Construction,48015,TX
Bailey County,2017,Fourth Quarter,10,36,-23.4,904,20.4,Construction,48017,TX
Bandera County,2017,Fourth Quarter,68,291,-4.3,779,3.5,Construction,48019,TX
Bastrop County,2017,Fourth Quarter,172,1198,5.6,1072,14,Construction,48021,TX
Baylor County,2017,Fourth Quarter,12,,,,,Construction,48023,TX
Bee County,2017,Fourth Quarter,27,111,-15.9,836,-19.8,Construction,48025,TX
Bell County,2017,Fourth Quarter,457,5053,4.1,1149,0.2,Construction,48027,TX
Bexar County,2017,Fourth Quarter,2759,38810,-0.1,1210,2.1,Construction,48029,TX
Blanco County,2017,Fourth Quarter,52,562,28.9,1235,9.4,Construction,48031,TX
Borden County,2017,Fourth Quarter,1,,,,,Construction,48033,TX
Bosque County,2017,Fourth Quarter,32,227,-13.7,995,17.1,Construction,48035,TX
Bowie County,2017,Fourth Quarter,171,1604,12.4,991,9.6,Construction,48037,TX
Brazoria County,2017,Fourth Quarter,508,15107,5.6,1721,16.6,Construction,48039,TX
Brazos County,2017,Fourth Quarter,448,4980,0,1011,2.8,Construction,48041,TX
Brewster County,2017,Fourth Quarter,33,187,23,873,14.6,Construction,48043,TX
Briscoe County,2017,Fourth Quarter,6,,,,,Construction,48045,TX
Brooks County,2017,Fourth Quarter,7,77,28.3,713,-24.2,Construction,48047,TX
Brown County,2017,Fourth Quarter,74,557,3.9,915,18.7,Construction,48049,TX
Burleson County,2017,Fourth Quarter,37,515,72.8,1412,31.2,Construction,48051,TX
Burnet County,2017,Fourth Quarter,207,1330,-5.1,1063,-0.4,Construction,48053,TX
Caldwell County,2017,Fourth Quarter,73,566,41.5,941,5.5,Construction,48055,TX
Calhoun County,2017,Fourth Quarter,63,2438,19.3,1177,-8.5,Construction,48057,TX
Callahan County,2017,Fourth Quarter,30,200,68.1,1676,-39.6,Construction,48059,TX
Cameron County,2017,Fourth Quarter,346,2839,-6.5,789,-8.5,Construction,48061,TX
Camp County,2017,Fourth Quarter,36,271,5.9,840,6.3,Construction,48063,TX
Carson County,2017,Fourth Quarter,18,,,,,Construction,48065,TX
Cass County,2017,Fourth Quarter,38,221,-26.1,953,-24.8,Construction,48067,TX
Castro County,2017,Fourth Quarter,6,15,-25,721,-1,Construction,48069,TX
Chambers County,2017,Fourth Quarter,59,2342,126.3,1449,2.8,Construction,48071,TX
Cherokee County,2017,Fourth Quarter,60,511,-24.5,775,-4.3,Construction,48073,TX
Childress County,2017,Fourth Quarter,15,,,,,Construction,48075,TX
Clay County,2017,Fourth Quarter,13,24,4.3,1017,2.6,Construction,48077,TX
Cochran County,2017,Fourth Quarter,2,,,,,Construction,48079,TX
Coke County,2017,Fourth Quarter,11,53,8.2,665,19.6,Construction,48081,TX
Coleman County,2017,Fourth Quarter,21,96,-11.1,660,7.5,Construction,48083,TX
Collin County,2017,Fourth Quarter,1505,17304,3.7,1541,-3.8,Construction,48085,TX
Collingsworth County,2017,Fourth Quarter,3,,,,,Construction,48087,TX
