Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,222,2396,-5.6,831,-1.3,Education and Health Services,48001,TX
Andrews County,2017,Fourth Quarter,25,160,-1.8,690,10.4,Education and Health Services,48003,TX
Angelina County,2017,Fourth Quarter,293,8197,-4.4,830,-1.1,Education and Health Services,48005,TX
Aransas County,2017,Fourth Quarter,58,398,-38.5,748,7.2,Education and Health Services,48007,TX
Archer County,2017,Fourth Quarter,20,121,33,537,16,Education and Health Services,48009,TX
Armstrong County,2017,Fourth Quarter,4,,,,,Education and Health Services,48011,TX
Atascosa County,2017,Fourth Quarter,77,1210,-2.3,824,5,Education and Health Services,48013,TX
Austin County,2017,Fourth Quarter,84,932,-1.5,610,8,Education and Health Services,48015,TX
Bailey County,2017,Fourth Quarter,11,176,-10.7,679,2.6,Education and Health Services,48017,TX
Bandera County,2017,Fourth Quarter,29,337,-9.2,1004,15.7,Education and Health Services,48019,TX
Bastrop County,2017,Fourth Quarter,212,1989,8.6,620,-0.6,Education and Health Services,48021,TX
Baylor County,2017,Fourth Quarter,17,372,4.5,674,1.8,Education and Health Services,48023,TX
Bee County,2017,Fourth Quarter,67,1291,7,703,-9.9,Education and Health Services,48025,TX
Bell County,2017,Fourth Quarter,774,21869,0.7,1403,7.2,Education and Health Services,48027,TX
Bexar County,2017,Fourth Quarter,9048,140626,1.2,917,0.5,Education and Health Services,48029,TX
Blanco County,2017,Fourth Quarter,46,218,3.3,724,10.7,Education and Health Services,48031,TX
Borden County,2017,Fourth Quarter,9,,,,,Education and Health Services,48033,TX
Bosque County,2017,Fourth Quarter,24,303,3.4,745,3,Education and Health Services,48035,TX
Bowie County,2017,Fourth Quarter,400,7980,0.1,972,6.9,Education and Health Services,48037,TX
Brazoria County,2017,Fourth Quarter,787,11231,3.8,826,7.8,Education and Health Services,48039,TX
Brazos County,2017,Fourth Quarter,508,10539,1.8,982,4.1,Education and Health Services,48041,TX
Brewster County,2017,Fourth Quarter,32,330,12.6,886,17.7,Education and Health Services,48043,TX
Briscoe County,2017,Fourth Quarter,3,18,0,228,7.5,Education and Health Services,48045,TX
Brooks County,2017,Fourth Quarter,22,439,2.6,332,1.8,Education and Health Services,48047,TX
Brown County,2017,Fourth Quarter,113,3354,-3.1,543,2.6,Education and Health Services,48049,TX
Burleson County,2017,Fourth Quarter,26,351,-3.8,708,1.9,Education and Health Services,48051,TX
Burnet County,2017,Fourth Quarter,128,2046,-1.5,954,-2.7,Education and Health Services,48053,TX
Caldwell County,2017,Fourth Quarter,102,1504,-1,664,-0.9,Education and Health Services,48055,TX
Calhoun County,2017,Fourth Quarter,54,546,-11.2,958,12.4,Education and Health Services,48057,TX
Callahan County,2017,Fourth Quarter,16,235,-4.1,481,2.6,Education and Health Services,48059,TX
Cameron County,2017,Fourth Quarter,1052,40562,2.8,556,-0.2,Education and Health Services,48061,TX
Camp County,2017,Fourth Quarter,43,480,-0.2,678,-1.7,Education and Health Services,48063,TX
Carson County,2017,Fourth Quarter,8,48,92,374,-13,Education and Health Services,48065,TX
Cass County,2017,Fourth Quarter,57,1458,9.6,453,4.9,Education and Health Services,48067,TX
Castro County,2017,Fourth Quarter,5,,,,,Education and Health Services,48069,TX
Chambers County,2017,Fourth Quarter,60,783,19.4,683,8.4,Education and Health Services,48071,TX
Cherokee County,2017,Fourth Quarter,86,1685,-4.5,615,0.5,Education and Health Services,48073,TX
