Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,111,1589,3.9,288,2.5,Leisure and Hospitality,48001,TX
Andrews County,2017,Fourth Quarter,40,502,9.1,481,4.6,Leisure and Hospitality,48003,TX
Angelina County,2017,Fourth Quarter,157,3550,12.7,320,2.9,Leisure and Hospitality,48005,TX
Aransas County,2017,Fourth Quarter,124,949,-30.6,338,2.7,Leisure and Hospitality,48007,TX
Archer County,2017,Fourth Quarter,8,59,,205,,Leisure and Hospitality,48009,TX
Armstrong County,2017,Fourth Quarter,3,17,,364,,Leisure and Hospitality,48011,TX
Atascosa County,2017,Fourth Quarter,93,1258,15,292,0.7,Leisure and Hospitality,48013,TX
Austin County,2017,Fourth Quarter,78,835,-4.5,335,3.7,Leisure and Hospitality,48015,TX
Bailey County,2017,Fourth Quarter,16,245,11.9,282,3.7,Leisure and Hospitality,48017,TX
Bandera County,2017,Fourth Quarter,58,531,9.5,523,19.7,Leisure and Hospitality,48019,TX
Bastrop County,2017,Fourth Quarter,147,2827,9.7,391,-2.5,Leisure and Hospitality,48021,TX
Baylor County,2017,Fourth Quarter,12,86,-1.1,239,-14.9,Leisure and Hospitality,48023,TX
Bee County,2017,Fourth Quarter,61,886,8.2,296,-3.3,Leisure and Hospitality,48025,TX
Bell County,2017,Fourth Quarter,675,12785,6,309,4,Leisure and Hospitality,48027,TX
Bexar County,2017,Fourth Quarter,4344,112569,2.3,429,1.9,Leisure and Hospitality,48029,TX
Blanco County,2017,Fourth Quarter,43,401,22.3,348,1.8,Leisure and Hospitality,48031,TX
Bosque County,2017,Fourth Quarter,37,288,23.6,268,9.8,Leisure and Hospitality,48035,TX
Bowie County,2017,Fourth Quarter,220,5142,-2,311,2.6,Leisure and Hospitality,48037,TX
Brazoria County,2017,Fourth Quarter,609,12089,2.9,354,6.3,Leisure and Hospitality,48039,TX
Brazos County,2017,Fourth Quarter,520,15545,8.2,362,3.1,Leisure and Hospitality,48041,TX
