Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,239,1273,-21,1169,-5.4,Professional and Business Services,48001,TX
Andrews County,2017,Fourth Quarter,38,360,-0.8,1496,-5.8,Professional and Business Services,48003,TX
Angelina County,2017,Fourth Quarter,243,2892,1.6,827,2.2,Professional and Business Services,48005,TX
Aransas County,2017,Fourth Quarter,75,451,-27.3,1216,14.9,Professional and Business Services,48007,TX
Archer County,2017,Fourth Quarter,29,164,21.5,680,1.2,Professional and Business Services,48009,TX
Armstrong County,2017,Fourth Quarter,10,33,-58.2,1515,28.4,Professional and Business Services,48011,TX
Atascosa County,2017,Fourth Quarter,90,601,-2,1014,24,Professional and Business Services,48013,TX
Austin County,2017,Fourth Quarter,209,690,-5.1,1346,-0.1,Professional and Business Services,48015,TX
Bailey County,2017,Fourth Quarter,16,42,-12.5,1423,-1.4,Professional and Business Services,48017,TX
Bandera County,2017,Fourth Quarter,56,148,-15.4,683,-14.7,Professional and Business Services,48019,TX
Bastrop County,2017,Fourth Quarter,199,855,37.2,882,-12.9,Professional and Business Services,48021,TX
Baylor County,2017,Fourth Quarter,19,,,,,Professional and Business Services,48023,TX
Bee County,2017,Fourth Quarter,56,298,-2.9,1426,-20.7,Professional and Business Services,48025,TX
Bell County,2017,Fourth Quarter,726,8355,4.3,1054,9.8,Professional and Business Services,48027,TX
Bexar County,2017,Fourth Quarter,7224,116861,0.5,1173,3.6,Professional and Business Services,48029,TX
Blanco County,2017,Fourth Quarter,50,394,-13.8,1534,31.7,Professional and Business Services,48031,TX
Borden County,2017,Fourth Quarter,9,14,-6.7,1306,-0.9,Professional and Business Services,48033,TX
Bosque County,2017,Fourth Quarter,35,167,4.4,829,16.4,Professional and Business Services,48035,TX
Bowie County,2017,Fourth Quarter,321,2719,-0.2,818,1.7,Professional and Business Services,48037,TX
Brazoria County,2017,Fourth Quarter,889,9041,9.8,1220,4.9,Professional and Business Services,48039,TX
Brazos County,2017,Fourth Quarter,800,8770,6.7,1061,-4.9,Professional and Business Services,48041,TX
Brewster County,2017,Fourth Quarter,44,181,9,1375,0.1,Professional and Business Services,48043,TX
Briscoe County,2017,Fourth Quarter,5,,,,,Professional and Business Services,48045,TX
Brooks County,2017,Fourth Quarter,13,153,2.7,634,2.8,Professional and Business Services,48047,TX
Brown County,2017,Fourth Quarter,92,649,-4.6,613,6.1,Professional and Business Services,48049,TX
Burleson County,2017,Fourth Quarter,37,227,26.8,1212,61.8,Professional and Business Services,48051,TX
Burnet County,2017,Fourth Quarter,187,957,10.5,955,-4.1,Professional and Business Services,48053,TX
Caldwell County,2017,Fourth Quarter,68,389,-7.4,609,10.5,Professional and Business Services,48055,TX
Calhoun County,2017,Fourth Quarter,95,736,-20.3,1726,22,Professional and Business Services,48057,TX
Callahan County,2017,Fourth Quarter,24,79,31.7,1035,2.5,Professional and Business Services,48059,TX
Cameron County,2017,Fourth Quarter,766,12221,6.1,631,3.1,Professional and Business Services,48061,TX
Camp County,2017,Fourth Quarter,20,128,5.8,861,-11.1,Professional and Business Services,48063,TX
Carson County,2017,Fourth Quarter,13,95,50.8,1472,66.5,Professional and Business Services,48065,TX
Cass County,2017,Fourth Quarter,49,254,-9.6,851,10.1,Professional and Business Services,48067,TX
Castro County,2017,Fourth Quarter,12,68,-28.4,956,-23.5,Professional and Business Services,48069,TX
Chambers County,2017,Fourth Quarter,82,1316,12.6,1224,3.7,Professional and Business Services,48071,TX
Cherokee County,2017,Fourth Quarter,98,1079,7.7,649,2.9,Professional and Business Services,48073,TX
Childress County,2017,Fourth Quarter,29,130,21.5,1242,4.7,Professional and Business Services,48075,TX
