Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Anderson County,2017,Fourth Quarter,383,5204,1.6,893,5.9,"Trade,Transportation, and Utilities",48001,TX
Andrews County,2017,Fourth Quarter,118,1504,9.6,1260,15.4,"Trade,Transportation, and Utilities",48003,TX
Angelina County,2017,Fourth Quarter,472,6988,-3.2,774,7.1,"Trade,Transportation, and Utilities",48005,TX
Aransas County,2017,Fourth Quarter,115,1069,-14.8,753,-5.2,"Trade,Transportation, and Utilities",48007,TX
Archer County,2017,Fourth Quarter,49,345,7.8,778,8.2,"Trade,Transportation, and Utilities",48009,TX
Armstrong County,2017,Fourth Quarter,10,36,-10,465,2.9,"Trade,Transportation, and Utilities",48011,TX
Atascosa County,2017,Fourth Quarter,217,3056,8.9,983,12.6,"Trade,Transportation, and Utilities",48013,TX
Austin County,2017,Fourth Quarter,213,2907,-2.9,976,5.9,"Trade,Transportation, and Utilities",48015,TX
Bailey County,2017,Fourth Quarter,62,610,3.6,968,4.8,"Trade,Transportation, and Utilities",48017,TX
Bandera County,2017,Fourth Quarter,89,586,0.7,706,0,"Trade,Transportation, and Utilities",48019,TX
Bastrop County,2017,Fourth Quarter,268,4149,1.9,724,12.4,"Trade,Transportation, and Utilities",48021,TX
Baylor County,2017,Fourth Quarter,31,234,19.4,855,39.3,"Trade,Transportation, and Utilities",48023,TX
Bee County,2017,Fourth Quarter,120,1441,6.3,718,14.1,"Trade,Transportation, and Utilities",48025,TX
Bell County,2017,Fourth Quarter,1170,23520,-0.9,750,3.7,"Trade,Transportation, and Utilities",48027,TX
Bexar County,2017,Fourth Quarter,7658,147228,0.7,811,2.5,"Trade,Transportation, and Utilities",48029,TX
Blanco County,2017,Fourth Quarter,72,540,12.5,1022,-1.5,"Trade,Transportation, and Utilities",48031,TX
Borden County,2017,Fourth Quarter,8,42,-58,630,67.6,"Trade,Transportation, and Utilities",48033,TX
Bosque County,2017,Fourth Quarter,79,564,5.2,696,1.2,"Trade,Transportation, and Utilities",48035,TX
Bowie County,2017,Fourth Quarter,553,9156,-5.3,775,4.9,"Trade,Transportation, and Utilities",48037,TX
Brazoria County,2017,Fourth Quarter,1263,20817,3.7,802,2.7,"Trade,Transportation, and Utilities",48039,TX
Brazos County,2017,Fourth Quarter,919,14358,2.2,669,7,"Trade,Transportation, and Utilities",48041,TX
Brewster County,2017,Fourth Quarter,76,511,1.2,739,-11.8,"Trade,Transportation, and Utilities",48043,TX
Briscoe County,2017,Fourth Quarter,11,40,-62.3,552,2.2,"Trade,Transportation, and Utilities",48045,TX
Brooks County,2017,Fourth Quarter,25,281,10.6,742,29,"Trade,Transportation, and Utilities",48047,TX
Brown County,2017,Fourth Quarter,228,2865,1.7,623,4.5,"Trade,Transportation, and Utilities",48049,TX
Burleson County,2017,Fourth Quarter,100,1024,0.6,859,5.5,"Trade,Transportation, and Utilities",48051,TX
Burnet County,2017,Fourth Quarter,242,3016,1.9,856,5.7,"Trade,Transportation, and Utilities",48053,TX
Caldwell County,2017,Fourth Quarter,142,1958,-0.7,911,12.1,"Trade,Transportation, and Utilities",48055,TX
Calhoun County,2017,Fourth Quarter,102,1163,-2.1,899,12.5,"Trade,Transportation, and Utilities",48057,TX
Callahan County,2017,Fourth Quarter,56,558,1.6,1022,6.1,"Trade,Transportation, and Utilities",48059,TX
Cameron County,2017,Fourth Quarter,1667,26044,-4,596,2.1,"Trade,Transportation, and Utilities",48061,TX
Camp County,2017,Fourth Quarter,61,1098,1.9,1039,1.5,"Trade,Transportation, and Utilities",48063,TX
Carson County,2017,Fourth Quarter,34,265,-32.6,787,16.9,"Trade,Transportation, and Utilities",48065,TX
Cass County,2017,Fourth Quarter,124,1205,-2.4,660,8.6,"Trade,Transportation, and Utilities",48067,TX
Castro County,2017,Fourth Quarter,71,520,5.1,770,4.6,"Trade,Transportation, and Utilities",48069,TX
Chambers County,2017,Fourth Quarter,183,3686,11.2,1018,4.2,"Trade,Transportation, and Utilities",48071,TX
Cherokee County,2017,Fourth Quarter,187,2776,3.7,724,3.3,"Trade,Transportation, and Utilities",48073,TX
Childress County,2017,Fourth Quarter,35,453,-11.9,616,-28.5,"Trade,Transportation, and Utilities",48075,TX
Clay County,2017,Fourth Quarter,35,317,1.6,845,19.4,"Trade,Transportation, and Utilities",48077,TX
Cochran County,2017,Fourth Quarter,16,96,2.1,835,8.9,"Trade,Transportation, and Utilities",48079,TX
Coke County,2017,Fourth Quarter,20,98,-13.3,509,63.7,"Trade,Transportation, and Utilities",48081,TX
Coleman County,2017,Fourth Quarter,49,400,-5,549,5.2,"Trade,Transportation, and Utilities",48083,TX
Collin County,2017,Fourth Quarter,4457,72086,2.6,960,4.2,"Trade,Transportation, and Utilities",48085,TX
Collingsworth County,2017,Fourth Quarter,21,148,6.5,899,-13.7,"Trade,Transportation, and Utilities",48087,TX
Colorado County,2017,Fourth Quarter,150,1366,-3.5,753,7.3,"Trade,Transportation, and Utilities",48089,TX
Comal County,2017,Fourth Quarter,724,12995,-0.9,857,3.9,"Trade,Transportation, and Utilities",48091,TX
Comanche County,2017,Fourth Quarter,85,801,1.8,668,6.4,"Trade,Transportation, and Utilities",48093,TX
Concho County,2017,Fourth Quarter,14,74,-10.8,705,1.6,"Trade,Transportation, and Utilities",48095,TX
